"resample","dataset","row_findin","distance","dist_km"
5,"paci",211,4151399.84310639,4151.39984310639
10,"satl",200,2781025.88574113,2781.02588574113
20,"paci",145,3973284.60563991,3973.28460563991
25,"satl",110,169202.03845037,169.20203845037
27,"satl",200,4844840.26976553,4844.84026976553
31,"paci",202,1677219.42212578,1677.21942212578
44,"satl",200,5378152.06027251,5378.15206027251
46,"paci",77,740792.206493414,740.792206493414
55,"natl",452,384048.072337016,384.048072337016
66,"natl",1,1193422.85939837,1193.42285939837
