species,5A,5B,5C,10A,10B,10C,20A,20B,20C,25A,25B,25C,27A,27B,27C,31A,31B,31C,44A,44B,44C,46A,46B,46C,55A,55B,55C,66A,66B,66C
Globigerina_bulloides,175,0,,38,0,,13,0,,4,0,,2,0,,3,0,,8,3,,28,0,,6,0,,0,0,
Globigerina_falconensis,0,0,,4,0,,11,0,,17,9,,2,0,,6,0,,0,0,,12,0,,0,0,,0,0,
Globoturborotalita_rubescens,0,0,,0,0,,0,0,,3,5,,2,11,,4,9,,4,0,,4,8,,0,0,,0,0,
Globigerinoides_tenellus,0,0,,0,0,,0,1,,20,7,,9,10,,19,21,,0,0,,6,0,,0,0,,0,0,
Globorotalia_menardii,0,0,,0,0,,37,66,,0,33,,1,13,,0,24,,30,19,,1,18,,23,49,,0,0,
Globorotalia_tumida,0,0,,0,0,,0,0,,2,8,,0,9,,0,12,,15,11,,2,9,,7,0,,0,0,
Globoconella_inflata,96,0,,58,81,,10,15,,31,9,,2,0,,0,0,,0,0,,0,0,,35,0,,0,0,
Globorotalia_crassaformis,0,0,,0,0,,2,0,,2,0,,1,1,,0,0,,0,2,,0,0,,5,6,,0,0,
Globorotalia_truncatulinoides,14,12,,10,6,,6,31,,12,4,,3,8,,0,2,,1,2,,0,0,,10,0,,0,0,
Globorotalia_hirsuta,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
Globorotalia_scitula,0,0,,0,0,,0,18,,2,0,,1,0,,0,0,,5,4,,0,0,,0,0,,0,0,
Globorotalia_ungulata,0,0,,0,0,,3,0,,2,0,,2,0,,0,0,,4,0,,0,0,,0,0,,0,0,
Globorotaloides_hexagonus,0,0,,0,0,,0,1,,0,0,,1,0,,0,0,,0,10,,0,0,,0,0,,0,0,
Neogloboquadrina_dutertrei,0,0,,0,0,,34,23,,1,4,,11,7,,4,19,,21,22,,9,13,,7,0,,0,0,
Neogloboquadrina_incompta,8,0,,38,0,,4,0,,1,0,,0,0,,0,0,,33,0,,10,0,,33,0,,0,0,
Neogloboquadrina_pachyderma,19,0,,17,0,,0,0,,0,0,,0,2,,0,0,,0,6,,0,0,,0,0,,226,78,
Globigerinella_siphonifera,0,0,,0,0,,5,10,,4,11,,29,10,,10,20,,16,11,,14,8,,2,0,,0,0,
Globigerinella_calida,1,0,,1,0,,6,18,,8,6,,11,7,,15,0,,0,3,,12,0,,3,0,,0,0,
Globigerinoides_ruber,0,0,,3,0,,73,23,,95,97,,196,14,,131,30,,53,11,,115,11,,68,0,,0,0,
Globigerinoides_conglobatus,0,0,,0,0,,1,9,,3,70,,12,9,,8,18,,6,8,,2,14,,2,0,,0,0,
Trilobatus_sacculifer,0,0,,0,0,,17,34,,30,19,,52,9,,32,31,,13,21,,28,23,,46,0,,0,0,
Orbulina_universa,0,0,,1,0,,1,0,,6,5,,3,0,,4,0,,0,2,,0,0,,1,0,,0,0,
Pulleniatina_obliquiloculata,0,0,,0,0,,2,13,,3,4,,7,10,,0,10,,16,14,,22,18,,5,0,,0,0,
Globoquadrina_conglomerata,0,0,,0,0,,2,0,,0,0,,1,0,,0,0,,0,13,,1,3,,0,0,,0,0,
Globigerinita_glutinata,5,0,,5,0,,52,27,,18,15,,24,16,,63,35,,77,18,,65,22,,2,0,,0,0,
Candeina_nitida,0,0,,0,0,,0,0,,0,8,,1,3,,0,5,,0,1,,0,0,,0,0,,0,0,
Beella_digitata,0,0,,0,0,,0,1,,0,4,,2,3,,1,1,,0,2,,0,0,,0,0,,0,0,
Turborotalita_quinqueloba,0,0,,2,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
Turborotalita_humilis,0,0,,0,0,,0,0,,0,10,,0,3,,0,0,,1,0,,0,2,,3,10,,0,0,
Sphaeroidinella_dehiscens,0,0,,0,0,,0,12,,0,6,,1,9,,0,1,,1,10,,0,1,,2,0,,0,0,
Hastigerina_pelagica,0,0,,0,0,,0,0,,0,9,,0,5,,0,0,,0,0,,0,0,,0,0,,0,0,
Berggrenia_pumilio,0,0,,0,0,,0,0,,0,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
Globorotalia_theyeri,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,
unidentified,0,0,,0,0,,0,11,,0,0,,0,12,,0,25,,0,1,,0,15,,0,0,,0,0,
total_counts,318,12,,177,87,,279,313,,265,346,,376,171,,300,263,,305,194,,331,165,,260,65,,226,78,
