"species","5A","5B","5C","10A","10B","10C","20A","20B","20C","25A","25B","25C","27A","27B","27C","31A","31B","31C","44A","44B","44C","46A","46B","46C","55A","55B","55C","66A","66B","66C"
"Globigerina_bulloides",0.550314465408805,0,0.607142857,0.214689265536723,0,0.316062176,0.046594982078853,0,0.088495575,0.0150943396226415,0,0.013257576,0.00531914893617021,0,0.027247956,0.01,0,0.005030181,0.0262295081967213,0.0154639175257732,0.05026455,0.0845921450151057,0,0.041984733,0.0230769230769231,0,0.022977023,0,0,0
"Globigerina_falconensis",0,0,0,0.0225988700564972,0,0,0.039426523297491,0,0.006637168,0.0641509433962264,0.0260115606936416,0.035984848,0.00531914893617021,0,0.021798365,0.02,0,0.007042254,0,0,0,0.0362537764350453,0,0.008178844,0,0,0,0,0,0
"Globoturborotalita_rubescens",0,0,0,0,0,0,0,0,0.003318584,0.0113207547169811,0.0144508670520231,0.020833333,0.00531914893617021,0.064327485380117,0.016348774,0.0133333333333333,0.0342205323193916,0.038229376,0.0131147540983607,0,0,0.0120845921450151,0.0484848484848485,0.022900763,0,0,0,0,0,0
"Globigerinoides_tenellus",0,0,0,0,0,0,0,0.00319488817891374,0.05199115,0.0754716981132075,0.0202312138728324,0.045454545,0.023936170212766,0.0584795321637427,0.005449591,0.0633333333333333,0.0798479087452472,0.040241449,0,0,0.002645503,0.0181268882175227,0,0.014176663,0,0,0.001998002,0,0,0
"Globorotalia_menardii",0,0,0.008174387,0,0,0.008174387,0.132616487455197,0.210862619808307,0.008174387,0,0.0953757225433526,0.008174387,0.00265957446808511,0.0760233918128655,0.008174387,0,0.091254752851711,0.008174387,0.0983606557377049,0.0979381443298969,0.008174387,0.00302114803625378,0.109090909090909,0.008174387,0.0884615384615385,0.753846153846154,0.008174387,0,0,0.008174387
"Globorotalia_tumida",0,0,0.008174387,0,0,0.008174387,0,0,0.008174387,0.00754716981132075,0.023121387283237,0.008174387,0,0.0526315789473684,0.008174387,0,0.0456273764258555,0.008174387,0.0491803278688525,0.0567010309278351,0.008174387,0.00604229607250755,0.0545454545454545,0.008174387,0.0269230769230769,0,0.008174387,0,0,0.008174387
"Globoconella_inflata",0.30188679245283,0,0.206632653,0.327683615819209,0.931034482758621,0.227979275,0.03584229390681,0.0479233226837061,0.061946903,0.116981132075472,0.0260115606936416,0.020833333,0.00531914893617021,0,0.008174387,0,0,0,0,0,0,0,0,0,0.134615384615385,0,0.162837163,0,0,0
"Globorotalia_crassaformis",0,0,0,0,0,0,0.00716845878136201,0,0,0.00754716981132075,0,0.003787879,0.00265957446808511,0.00584795321637427,0,0,0,0,0,0.0103092783505155,0,0,0,0.00436205,0.0192307692307692,0.0923076923076923,0.017982018,0,0,0
"Globorotalia_truncatulinoides",0.0440251572327044,1,0.06122449,0.0564971751412429,0.0689655172413793,0.005181347,0.021505376344086,0.0990415335463259,0.01659292,0.0452830188679245,0.0115606936416185,0.054924242,0.00797872340425532,0.0467836257309941,0.013623978,0,0.00760456273764259,0.002012072,0.00327868852459016,0.0103092783505155,0,0,0,0.004907306,0.0384615384615385,0,0.078921079,0,0,0
"Globorotalia_hirsuta",0,0,0,0,0,0,0,0,0.009955752,0.00377358490566038,0,0.005681818,0,0,0,0,0,0,0,0,0,0,0,0.001090513,0,0,0,0,0,0
