species,5A,10A,20A,25A,27A,31A,44A,46A,55A,66A
Globigerina_bulloides,175,38,13,4,2,3,8,28,6,0
Globigerina_falconensis,0,4,11,17,2,6,0,12,0,0
Globoturborotalita_rubescens,0,0,0,3,2,4,4,4,0,0
Globigerinoides_tenellus,0,0,0,20,9,19,0,6,0,0
Globorotalia_menardii,0,0,37,0,1,0,30,1,23,0
Globorotalia_tumida,0,0,0,2,0,0,15,2,7,0
Globoconella_inflata,96,58,10,31,2,0,0,0,35,0
Globorotalia_crassaformis,0,0,2,2,1,0,0,0,5,0
Globorotalia_truncatulinoides,14,10,6,12,3,0,1,0,10,0
Globorotalia_hirsuta,0,0,0,1,0,0,0,0,0,0
Globorotalia_scitula,0,0,0,2,1,0,5,0,0,0
Globorotalia_ungulata,0,0,3,2,2,0,4,0,0,0
Globorotaloides_hexagonus,0,0,0,0,1,0,0,0,0,0
Neogloboquadrina_dutertrei,0,0,34,1,11,4,21,9,7,0
Neogloboquadrina_incompta,8,38,4,1,0,0,33,10,33,0
Neogloboquadrina_pachyderma,19,17,0,0,0,0,0,0,0,226
Globigerinella_siphonifera,0,0,5,4,29,10,16,14,2,0
Globigerinella_calida,1,1,6,8,11,15,0,12,3,0
Globigerinoides_ruber,0,3,73,95,196,131,53,115,68,0
Globigerinoides_conglobatus,0,0,1,3,12,8,6,2,2,0
Trilobatus_sacculifer,0,0,17,30,52,32,13,28,46,0
Orbulina_universa,0,1,1,6,3,4,0,0,1,0
Pulleniatina_obliquiloculata,0,0,2,3,7,0,16,22,5,0
Globoquadrina_conglomerata,0,0,2,0,1,0,0,1,0,0
Globigerinita_glutinata,5,5,52,18,24,63,77,65,2,0
Candeina_nitida,0,0,0,0,1,0,0,0,0,0
Beella_digitata,0,0,0,0,2,1,0,0,0,0
Turborotalita_quinqueloba,0,2,0,0,0,0,0,0,0,0
Turborotalita_humilis,0,0,0,0,0,0,1,0,3,0
Sphaeroidinella_dehiscens,0,0,0,0,1,0,1,0,2,0
Hastigerina_pelagica,0,0,0,0,0,0,0,0,0,0
Berggrenia_pumilio,0,0,0,0,0,0,0,0,0,0
Globorotalia_theyeri,0,0,0,0,0,0,1,0,0,0
unidentified,0,0,0,0,0,0,0,0,0,0
total_counts,318,177,279,265,376,300,305,331,260,226
,318,177,279,265,376,300,305,331,260,226
