"resample","lat","long","distance","forcens_row","forcens_lat","forcens_long"
5,-50.01667,123.06667,250110.04895283,60,-47.77,123.1
10,-40.45,49.81667,373734.386562048,52,-43.63,51.267
20,-26.93667,111.18167,15415.4023349409,2821,-26.96666667,111.3333333
25,-21.25,-14.03333,332708.360791805,627,-24.06666667,-15.11666667
27,-19.56667,64.63333,161121.081756644,178,-20.58,63.533
31,-15.65,-179.0625,281639.432203888,2225,-15.15,-176.49
44,-7.59167,61.48333,261129.599505777,1461,-6.266666667,63.43333333
46,-0.7,147,328480.865316024,692,1.266666667,149.2
55,24.33333,-24.46667,202350.301301972,2179,22.697,-25.33
66,85.25,-167.9,1038231.48356325,2007,85.39,21.775
