"area","diam.max","species","sample","dataset","datasetAB","area_log"
119261.6976,444.9035482,"calida",25,"resample","A",11.6890754970215
100849.2849,411.820253,"calida",25,"resample","A",11.5213824526284
62599.40142,313.7897385,"calida",25,"resample","A",11.0445109950616
39476.27393,260.7297119,"calida",25,"resample","A",10.5834551104207
63382.61029,320.4083178,"calida",25,"resample","A",11.0569448171554
63014.5658,327.2919948,"calida",25,"resample","A",11.0511211818249
143339.9578,532.0822677,"calida",25,"resample","A",11.872974415143
25057.58971,207.2048613,"calida",25,"resample","A",10.1289320430582
47969.31448,290.8727107,"calida",27,"resample","A",10.7783168037957
38718.53527,256.1593663,"calida",27,"resample","A",10.5640737119043
40063.36221,258.0589146,"calida",27,"resample","A",10.5982175350539
35229.11691,238.9008999,"calida",27,"resample","A",10.4696282046005
49054.3453,296.8038606,"calida",27,"resample","A",10.8006840502644
60490.46827,334.4034549,"calida",27,"resample","A",11.0102410823505
53046.80026,303.7172623,"calida",27,"resample","A",10.8789298266717
32405.74445,247.3061558,"calida",27,"resample","A",10.3860909839045
121387.1864,463.6497543,"calida",27,"resample","A",11.7067406034372
93685.78915,416.417719,"calida",27,"resample","A",11.4477017934374
100602.2239,424.5872173,"calida",27,"resample","A",11.5189296427653
115697.7123,412.4339225,"conglobatus",20,"resample","A",11.6587361402983
122559.126,417.7266108,"conglobatus",25,"resample","A",11.7163488537479
62470.01167,316.0593569,"conglobatus",25,"resample","A",11.0424419072973
61099.97486,306.0542161,"conglobatus",25,"resample","A",11.020266733703
100745.6935,387.1707039,"conglobatus",27,"resample","A",11.5203547344785
291811.2598,661.1297823,"conglobatus",27,"resample","A",12.583862501715
73562.32952,339.0914828,"conglobatus",27,"resample","A",11.2058883465148
83876.43316,356.0327445,"conglobatus",27,"resample","A",11.3370999609834
127265.3273,459.7804392,"conglobatus",27,"resample","A",11.7540293774539
165525.0988,491.2384307,"conglobatus",27,"resample","A",12.0168781166816
75057.36525,360.831734,"conglobatus",27,"resample","A",11.2260079701545
405236.8277,793.3474555,"conglobatus",27,"resample","A",12.9122269349364
113014.8438,407.7875532,"conglobatus",27,"resample","A",11.6352744501293
114233.873,404.1331682,"conglobatus",27,"resample","A",11.646003143432
287007.4307,642.6439907,"conglobatus",27,"resample","A",12.5672633853474
100584.6896,392.2506014,"conglobatus",27,"resample","A",11.5187553342107
126148.1577,412.0319686,"conglobatus",31,"resample","A",11.7452123499198
53453.2775,299.3275772,"conglobatus",31,"resample","A",10.886563233563
223174.3337,585.0226195,"conglobatus",31,"resample","A",12.3157085104936
175369.3341,512.1538387,"conglobatus",31,"resample","A",12.0746495095415
80840.3606,343.4147284,"conglobatus",31,"resample","A",11.3002316321706
285242.96,658.5902219,"conglobatus",31,"resample","A",12.5610965873146
98123.6308,373.3627728,"conglobatus",31,"resample","A",11.4939835013568
378533.1895,745.4682105,"conglobatus",31,"resample","A",12.8440590349374
217749.0862,555.2079514,"conglobatus",44,"resample","A",12.2910986981503
66214.81478,305.8114778,"conglobatus",44,"resample","A",11.1006595051058
381469.5536,751.2115481,"conglobatus",44,"resample","A",12.8517863194446
92812.93171,369.3053939,"conglobatus",44,"resample","A",11.4383412593892
302401.0264,680.7032616,"conglobatus",44,"resample","A",12.6195093174616
293059.8176,656.856837,"conglobatus",44,"resample","A",12.5881320227937
425825.6055,786.5445676,"conglobatus",46,"resample","A",12.9617851646734
160333.5461,482.4918868,"conglobatus",46,"resample","A",11.9850115874459
54454.0292,291.5156014,"crassaformis",55,"resample","A",10.9051121237868
30673.77037,216.3012329,"crassaformis",55,"resample","A",10.3311631830381
29246.16527,208.8485806,"crassaformis",55,"resample","A",10.2835037421851
235750.9631,588.520697,"crassaformis",55,"resample","A",12.3705312857472
152799.5927,477.3164592,"crassaformis",55,"resample","A",11.9368824901351
386229.6171,776.9538301,"dehiscens",27,"resample","A",12.8641873345395
