Measurement Table calida25.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,119261.6976,1.209304074,444.9035482,295.7722886,1.096395667,118562.5404,1367.613233,229.9488228,135.8345912,1,1.255362785
P1R2,100849.2849,1.256279543,411.820253,300.199867,1.061525014,100367.2612,1235.326661,209.1611199,142.4758606,1,1.20993409
P1R3,62599.40142,1.108314608,313.7897385,242.4619247,1.068790225,62095.72808,983.001575,160.4027061,111.282338,1,1.23833133
P1R4,39476.27393,1.280248295,260.7297119,180.5951277,1.114591052,39071.29764,771.260218,132.7409992,76.76104175,1,1.21153003
P1R5,63382.61029,1.158904654,320.4083178,225.7026532,1.042058121,62891.03529,958.7461566,160.9962936,106.6887511,1,1.163077583
P1R6,63014.5658,1.291559208,327.2919948,228.4395626,1.105717835,62507.70867,978.7029169,170.0340062,93.93089818,1,1.219434122
P1R7,143339.9578,1.407936171,532.0822677,342.7369181,1.225273758,142543.3771,1566.907921,274.1354712,131.5942444,1,1.37066103
P1R8,25057.58971,1.449573359,207.2048613,129.6006483,1.133041812,24739.84888,609.0080039,109.2389836,58.96085199,1,1.192996352
Mean value,77122.67268,1.270264989,352.2788367,243.1886238,1.105924185,76597.34966,1058.820836,180.8323003,107.1910722,1,1.232665915
Standard Deviation,37832.1226,0.108511999,98.10897943,64.48757878,0.053121003,37697.89035,294.0800513,50.35654301,27.62685781,0,0.05825016
Minimum,25057.58971,1.108314608,207.2048613,129.6006483,1.042058121,24739.84888,609.0080039,109.2389836,58.96085199,1,1.163077583
Maximum,143339.9578,1.449573359,532.0822677,342.7369181,1.225273758,142543.3771,1566.907921,274.1354712,142.4758606,1,1.37066103
Range,118282.3681,0.341258751,324.8774064,213.1362697,0.183215637,117803.5282,957.8999171,164.8964877,83.51500864,0,0.207583448
Sum,616981.3814,10.16211991,2818.230693,1945.50899,8.847393483,612778.7973,8470.566686,1446.658403,857.5285773,8,9.861327322
Index of Minimum,8,3,8,8,5,8,8,8,8,1,5
Index of Maximum,7,8,7,7,7,7,7,7,2,1,7
Number of Elements,8,8,8,8,8,8,8,8,8,8,8
