Measurement Table ZF6170_falconensis25 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,35245.638,1.126598129,228.2242976,179.7132516,1.078289643,34410.83048,739.1566159,118.9346117,74.02552463,1,1.263478744
P1R4,27038.2968,1.120157169,202.8871056,159.5641877,1.027621464,26334.39169,635.2674461,102.3197768,72.74190746,1,1.219495123
P1R5,41116.5828,1.27655384,258.6184587,178.9337419,1.128688882,40206.38091,819.3635309,139.5562158,77.65758252,1,1.328765778
P1R6,39192.8832,1.26403851,248.1364544,180.6,1.084620156,38262.92668,781.8968512,131.6124381,79.38314897,1,1.271484002
P1R7,34912.818,1.118781522,228.2242976,181.9403122,1.040664971,34100.7372,704.4594491,120.4210556,74.96881133,1,1.158079535
P1R8,15030.1512,1.289001364,154.2184075,108.7585528,1.045125131,14498.07593,467.9629734,80.43424401,49.85564381,1,1.201995304
P1R9,30732.5988,1.183819689,212.5331278,163.8655473,1.043083288,29963.7846,649.0728541,111.0631953,71.38922256,1,1.118871942
P1R13,44038.7424,1.166616305,263.5643952,186.974364,1.087744782,43089.55211,843.0883283,137.4438747,79.74808673,1,1.312696512
P1R14,42760.7136,1.123162073,262.1208897,195.2806073,1.044785807,41839.22765,822.8744216,132.4855674,91.02022694,1,1.287874737
Mean value,34452.0472,1.185414289,228.7252704,170.6256183,1.064513792,33633.98969,718.1269412,119.3634422,74.53223944,1,1.240304631
Standard Deviation,8658.203269,0.067993032,33.46806038,24.15196831,0.030562052,8531.744913,113.4058849,18.05252755,10.30007259,0,0.066870996
Minimum,15030.1512,1.118781522,154.2184075,108.7585528,1.027621464,14498.07593,467.9629734,80.43424401,49.85564381,1,1.118871942
Maximum,44038.7424,1.289001364,263.5643952,195.2806073,1.128688882,43089.55211,843.0883283,139.5562158,91.02022694,1,1.328765778
Range,29008.5912,0.170219842,109.3459877,86.52205456,0.101067419,28591.47618,375.1253549,59.12197181,41.16458312,0,0.209893836
Sum,310068.4248,10.6687286,2058.527434,1535.630565,9.580624125,302705.9072,6463.14247,1074.270979,670.7901549,9,11.16274168
Index of Minimum,6,5,6,6,2,6,6,6,6,1,7
Index of Maximum,8,6,8,9,3,8,8,3,9,1,3
Number of Elements,9,9,9,9,9,9,9,9,9,9,9
