Measurement Table humilis55 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,27901.07289,1.102279713,202.080095,170.9969886,0.976166858,27696.89106,625.5596455,103.0230688,77.38044767,1,1.12433721
P1R2,31126.27027,1.202977282,221.6489525,167.782087,1.004641565,30908.69948,660.2206682,113.3820367,83.04364556,1,1.122244942
P1R3,27354.18488,1.27931084,217.8810348,158.9949973,1.020254532,27153.09281,617.0599817,111.9737192,75.92029219,1,1.115900872
Mean value,28793.84268,1.194855945,213.8700274,165.9246909,1.000354318,28586.22779,634.2800985,109.4596082,78.78146181,1,1.120827675
Standard Deviation,1664.318777,0.072500447,8.47746746,5.072763121,0.018252235,1657.173337,18.66808221,4.587491622,3.072205642,0,0.003586961
Minimum,27354.18488,1.102279713,202.080095,158.9949973,0.976166858,27153.09281,617.0599817,103.0230688,75.92029219,1,1.115900872
Maximum,31126.27027,1.27931084,221.6489525,170.9969886,1.020254532,30908.69948,660.2206682,113.3820367,83.04364556,1,1.12433721
Range,3772.085397,0.177031128,19.56885759,12.00199125,0.044087674,3755.606662,43.16068651,10.35896784,7.123353368,0,0.008436338
Sum,86381.52804,3.584567835,641.6100823,497.7740728,3.001062954,85758.68336,1902.840295,328.3788247,236.3443854,3,3.362483025
Index of Minimum,3,1,1,3,1,3,3,1,3,1,3
Index of Maximum,2,3,2,1,3,2,2,2,2,1,1
Number of Elements,3,3,3,3,3,3,3,3,3,3,3
