Measurement Table ZF6549_humilis55 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28835.5248,1.208113785,218.3875134,156.9352733,1.01270631,28025.84529,631.8655106,112.6770447,75.93053189,1,1.133654558
P1R2,24389.0496,1.213003023,197.8710307,148.8371567,1.077979348,23751.15963,594.9224644,101.4637419,64.90010838,1,1.185839944
P1R4,19509.9084,1.113158164,166.7247024,129,0.980121477,18981.38471,515.7097989,86.8770154,59.90979464,1,1.114995289
P1R5,21946.1508,1.158536716,181.0601281,147.2409413,1.040909743,21317.85006,579.4643962,93.91592,68.95099669,1,1.253430528
P1R6,26638.9128,1.157295695,200.0124096,163.5402556,0.996938149,25958.80963,626.9995531,102.7266809,77.47870834,1,1.205146506
P1R7,28489.392,1.215200087,210.2502138,162.7037271,1.01755087,27763.72352,638.0245108,108.2610063,74.1467535,1,1.166775155
P1R8,28316.3256,1.208019501,216.3664974,164.1901946,1.049274086,27589.47397,643.6011421,110.9324815,72.81487162,1,1.194759106
P1R9,26452.5336,1.101447722,196.7070238,158.7276724,1.008476615,25778.67523,615.8242728,102.9966226,75.45496898,1,1.170693393
P1R10,32935.8672,1.188418454,225.06711,176.1216171,1.014251883,32173.83466,679.457505,114.759059,80.50648502,1,1.14185756
P1R11,23390.5896,1.165442609,189.7308915,148.0524407,1.000559341,22710.65419,564.2389353,101.0463205,68.32635685,1,1.115543771
Mean value,26090.42544,1.172863576,200.2177521,155.5349279,1.019876782,25405.14109,609.0108089,103.5655893,71.84195759,1,1.168269581
Standard Deviation,3690.518748,0.039104571,17.1047091,12.247846,0.027167541,3625.329078,44.35588995,8.173414272,5.951124417,0,0.041406245
Minimum,19509.9084,1.101447722,166.7247024,129,0.980121477,18981.38471,515.7097989,86.8770154,59.90979464,1,1.114995289
Maximum,32935.8672,1.215200087,225.06711,176.1216171,1.077979348,32173.83466,679.457505,114.759059,80.50648502,1,1.253430528
Range,13425.9588,0.113752365,58.34240756,47.12161707,0.097857871,13192.44995,163.7477061,27.88204359,20.59669039,0,0.138435238
Sum,260904.2544,11.72863576,2002.177521,1555.349279,10.19876782,254051.4109,6090.108089,1035.655893,718.4195759,10,11.68269581
Index of Minimum,3,8,3,3,3,3,3,3,3,1,3
Index of Maximum,9,6,9,9,2,9,9,9,9,1,4
Number of Elements,10,10,10,10,10,10,10,10,10,10,10
