Measurement Table siphonifera44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,185299,1.371658279,562.1165183,338.9897227,1.0907316,183930.4672,1768.374397,282.3089797,161.4545977,2,1.352959885
P1R2,245093.8576,1.249795204,640.5827312,439.6588512,1.178908898,243473.9617,1969.651636,337.9507163,176.5440595,3,1.267991893
P1R3,252716.8969,1.293388032,636.3756472,427.8068019,1.026154595,251156.1453,1897.824959,324.0797194,210.9054018,3,1.141191836
P1R4,69865.8126,1.225664596,343.1084157,257.0294736,1.092735094,69036.14992,1014.202626,175.3975307,108.6494743,1,1.185667881
P1R5,109752.0516,1.271842952,419.3906166,300.641961,1.08139621,108718.6697,1264.945004,215.1698103,132.3055678,1,1.171195286
P1R6,102198.0139,1.120634952,401.9074206,299.3275772,1.080717583,101184.3468,1226.27232,207.6524633,132.6617677,1,1.182634857
P1R7,64260.25006,1.31096956,336.3233825,231.3204184,1.11573632,63442.08765,979.7927206,168.259113,94.64056205,1,1.204151438
P1R8,47489.56354,1.264986363,285.9434706,201.6066891,1.130441621,46788.04677,848.3689078,147.0591468,82.46686103,1,1.224122072
P1R9,122162.491,1.299384734,457.7894183,308.0748698,1.155432778,121079.8223,1386.192849,231.1256303,121.7761583,1,1.262890484
P1R10,61470.61196,1.059947374,305.0577389,248.891647,1.08224066,60682.02169,948.8021801,161.0568271,103.1297709,1,1.180542058
P1R11,46490.68252,1.358064762,290.4865664,181.3038094,1.248471873,45769.451,884.9042358,149.7249455,62.12055249,1,1.361466633
P1R12,45008.78997,1.381247392,286.6664931,189.2228429,1.149331956,44329.54415,862.5828289,144.39218,74.87305524,1,1.335667962
P1R13,59528.70841,1.244114605,313.0632972,223.1947689,1.116100478,58751.61841,930.3605812,159.8563348,98.61549352,1,1.172392214
P1R14,33633.37524,1.290776163,239.8286955,158.9583176,1.159460269,33041.93254,723.6581519,121.8371313,64.58770656,1,1.261222281
P1R15,33584.08835,1.294760294,234.36851,163.9143918,1.107639113,33012.3604,701.0342812,122.7918251,69.43057862,1,1.184655544
P1R16,30212.86492,1.202405881,226.6351987,163.7840424,1.153756631,29657.56594,676.576153,116.2723828,67.21890567,1,1.228253542
Mean value,94297.94116,1.264977572,373.7277576,258.3578866,1.12307848,93378.38697,1130.22149,191.558421,110.0862821,1.3125,1.232312867
Standard Deviation,70427.17979,0.082260759,131.71104,85.79164149,0.049873229,70102.84768,408.4637866,67.80602574,42.3117726,0.681794507,0.066644124
Minimum,30212.86492,1.059947374,226.6351987,158.9583176,1.026154595,29657.56594,676.576153,116.2723828,62.12055249,1,1.141191836
Maximum,252716.8969,1.381247392,640.5827312,439.6588512,1.248471873,251156.1453,1969.651636,337.9507163,210.9054018,3,1.361466633
Range,222504.032,0.321300017,413.9475326,280.7005336,0.222317279,221498.5794,1293.075483,221.6783336,148.7848493,2,0.220274797
Sum,1508767.059,20.23964114,5979.644121,4133.726185,17.96925568,1494054.192,18083.54383,3064.934736,1761.380513,21,19.71700587
Index of Minimum,16,10,16,14,3,16,16,16,11,4,3
Index of Maximum,3,12,2,2,11,3,2,2,3,2,11
Number of Elements,16,16,16,16,16,16,16,16,16,16,16
