Measurement Table tenellus31.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,32360.47259,1.318218656,233.5279167,156.3868179,1.088085742,31895.02063,750.3011319,120.9824317,72.50936364,1,1.404554104
P1R2,30140.77941,1.172890236,225.1154426,163.6492614,1.063618127,29712.52339,710.456084,114.4051636,71.78448653,1,1.351839387
P1R3,34972.23115,1.255899501,238.169734,157.9793472,1.181194288,34472.59912,822.2908913,125.4221933,62.71563029,1,1.560871271
P1R4,25397.79371,1.026290877,193.4714055,158.874062,1.01195731,25006.73364,650.3569962,102.7759848,68.61423169,1,1.345974469
P1R5,32083.01095,1.211615561,227.1028335,168.7126136,1.097443543,31614.33361,772.5466734,119.8289881,73.60512184,1,1.502296235
P1R6,23234.3971,1.018197728,180.1024016,159.0637775,0.970027562,22865.45353,613.2887673,95.91623459,69.14443551,1,1.309002145
P1R7,46106.8877,1.139245893,280.5004153,199.8509522,1.174241457,45530.85319,960.5962511,152.3313541,78.99769443,1,1.612746632
P1R8,26634.30758,1.271308897,212.6929997,147.3921394,1.146663913,26214.09392,690.8899815,110.1427238,63.93806397,1,1.449015717
P1R9,27997.48871,1.283189533,218.2957459,154.5569131,1.11657842,27562.19562,710.5990069,113.09407,65.72419994,1,1.457892624
P1R10,35629.69462,1.245880371,239.634113,164.0480699,1.101863846,35154.18969,778.8630033,124.3446778,70.77502587,1,1.373204491
P1R11,25741.60488,1.066513328,199.6496417,154.4267708,1.069265958,25339.48655,664.3939474,106.2285894,68.88560668,1,1.386256774
P1R12,31208.40358,1.245481167,222.3068661,163.9499916,1.104072624,30756.02046,740.9639367,118.0795572,65.51937927,1,1.42054226
P1R13,26785.10195,1.169258546,203.3020721,156.4125289,1.064719239,26365.89359,687.2234528,107.2919177,67.57552571,1,1.42542249
P1R14,31628.61723,1.244475824,228.6029268,169.5921978,1.109833388,31173.72284,746.8275699,121.334788,71.99170283,1,1.423777651
P1R15,28685.11106,1.342367271,218.5764827,142.368446,1.122293518,28248.81267,707.2177189,113.802361,63.98367262,1,1.408952087
P1R16,25224.88283,1.090805094,191.2082596,161.2232267,0.995572932,24831.81216,646.1449507,100.9990163,70.02650132,1,1.337955449
P1R17,36234.8827,1.178900402,234.7515847,177.4312375,1.062384895,35751.30639,782.2402682,123.6061359,74.70887697,1,1.362004614
P1R18,27977.3828,1.36899609,216.9839272,146.7359055,1.08751037,27545.03519,714.8225637,114.3187751,65.28795491,1,1.476193644
P1R19,25452.07969,1.25858333,204.696678,153.0470278,1.050949134,25056.99843,648.9804724,104.7168356,66.93146637,1,1.337594178
Mean value,30183.95422,1.205690437,219.404813,160.8263835,1.085172435,29741.95182,726.2633509,115.2432525,69.09047055,1,1.418215591
Standard Deviation,5272.514473,0.098894597,21.81849687,12.31311669,0.053400585,5226.919465,76.74325075,12.03603369,4.10529913,0,0.076848562
Minimum,23234.3971,1.018197728,180.1024016,142.368446,0.970027562,22865.45353,613.2887673,95.91623459,62.71563029,1,1.309002145
Maximum,46106.8877,1.36899609,280.5004153,199.8509522,1.181194288,45530.85319,960.5962511,152.3313541,78.99769443,1,1.612746632
Range,22872.4906,0.350798362,100.3980137,57.48250624,0.211166726,22665.39966,347.3074838,56.41511951,16.28206414,0,0.303744487
Sum,573495.1302,22.9081183,4168.691447,3055.701287,20.61827627,565097.0846,13799.00367,2189.621798,1312.71894,19,26.94609622
Index of Minimum,6,6,6,15,6,6,6,6,3,1,6
Index of Maximum,7,18,7,7,3,7,7,7,7,1,7
Number of Elements,19,19,19,19,19,19,19,19,19,19,19
