Measurement Table truncatulinoides25.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,193724.5266,1.147834613,544.409143,431.4704075,1.032420743,192677.0083,1749.545204,293.0407832,190.7495502,1,1.264184901
P1R2,104952.8841,1.224896509,404.3579282,303.8293837,1.015284865,104176.7957,1202.403649,211.2659626,136.1940015,1,1.104383051
P1R3,203767.4319,1.195275109,584.8176575,419.9153339,1.134120626,202650.5482,1829.978598,319.1932119,173.3712098,1,1.31502617
P1R4,75264.4878,1.207937703,344.565577,280.944472,0.985155202,74618.08258,1005.099101,181.0264167,128.8387365,1,1.077367428
P1R5,96574.74869,1.127998997,391.2574945,305.6602244,1.052578737,95820.77682,1162.67694,213.0370257,133.8757919,1,1.122660876
P1R6,181017.5874,1.192673395,531.4677486,410.3474626,1.066031897,180008.2704,1595.175799,291.7472819,174.7762443,1,1.124902295
P1R7,148502.2992,1.267503086,507.2548441,372.6385671,1.072900402,147543.247,1455.450908,273.5393667,167.5633559,1,1.142525609
P1R8,153983.172,1.310201193,510.520308,360.9324933,1.075486903,153044.2257,1468.531097,272.9092137,152.4131555,1,1.121345652
P1R9,202160.9691,1.240999192,572.9742206,434.20176,1.061272569,201066.202,1697.90276,304.0381377,183.8328416,1,1.140976531
P1R10,57919.11364,1.188112157,300.8534774,239.4326621,1.015840857,57345.63336,933.6807537,159.849709,107.7144565,1,1.209724891
P1R11,73438.87058,1.165717913,333.5416872,281.7876789,0.947511033,72805.52194,1058.330785,175.0089459,134.0284097,1,1.224246005
P1R12,74639.19379,1.281636751,354.5592234,261.2268757,1.059301084,74014.28077,1086.654295,190.046974,119.2088538,1,1.269572293
Mean value,130495.4404,1.212565551,448.3816091,341.8656101,1.043158743,129647.5494,1353.785824,240.3919191,150.2138839,1,1.176409642
Standard Deviation,53562.46136,0.052545652,98.87888151,68.1422962,0.046148098,53370.97598,302.7286603,54.95707226,26.09063833,0,0.073581782
Minimum,57919.11364,1.127998997,300.8534774,239.4326621,0.947511033,57345.63336,933.6807537,159.849709,107.7144565,1,1.077367428
Maximum,203767.4319,1.310201193,584.8176575,434.20176,1.134120626,202650.5482,1829.978598,319.1932119,190.7495502,1,1.31502617
Range,145848.3182,0.182202196,283.9641801,194.7690978,0.186609593,145304.9149,896.2978446,159.3435029,83.03509368,0,0.237658741
Sum,1565945.285,14.55078662,5380.57931,4102.387321,12.51790492,1555770.593,16245.42989,2884.703029,1802.566607,12,14.1169157
Index of Minimum,10,5,10,10,11,10,10,10,10,1,4
Index of Maximum,3,8,3,9,3,3,3,3,1,1,3
Number of Elements,12,12,12,12,12,12,12,12,12,12,12
