species,sspname,sample,datasetAB,total_ind,area_min,area_log_min,area_25q,area_log_25q,area_mean,area_log_mean,area_median,area_log_median,area_75q,area_log_75q,area_95q,area_log_95q,area_max,area_log_max
calida,G.calida,25,A,8,25057.58971,10.12893204,56818.61955,10.92924702,77122.67268,11.11854956,63198.58805,11.054033,105452.3881,11.56330571,134912.5667,11.80860979,143339.9578,11.87297442
calida,G.calida,25,B,5,110296.548,11.61092791,125200.2276,11.73766956,141256.7957,11.84669781,143844.804,11.87649025,160272.7992,11.98463264,165390.2395,12.01594148,166669.5996,12.02376869
calida,G.calida,27,A,11,32405.74445,10.38609098,39390.94874,10.58114562,61150.26242,10.92359584,49054.3453,10.80068405,77088.12871,11.22897144,110994.7052,11.61283512,121387.1864,11.7067406
calida,G.calida,27,B,6,89082.6012,11.39731932,96036.8751,11.46575582,112399.9704,11.61762345,119236.0932,11.68852374,126135.4518,11.74495794,129430.3698,11.77085717,130105.9944,11.77610474
conglobatus,G.conglobatus,25,A,3,61099.97486,11.02026673,61784.99327,11.03135432,82043.03751,11.25968583,62470.01167,11.04244191,92514.56884,11.37939538,116550.2146,11.64895816,122559.126,11.71634885
conglobatus,G.conglobatus,25,B,42,217524.4956,12.29006675,331836.5169,12.7123568,393721.9394,12.86434337,375291.1602,12.83526342,436000.8564,12.98539787,519343.6439,13.16027347,596666.3832,13.29911341
conglobatus,G.conglobatus,27,A,12,73562.32952,11.20588835,96407.62549,11.47334149,161493.431,11.82697035,113624.3584,11.6406388,195895.6818,12.15447443,342852.7654,12.7316265,405236.8277,12.91222693
conglobatus,G.conglobatus,27,B,7,99806.0616,11.5109842,140609.7936,11.85045277,242215.9359,12.22491274,212645.3544,12.26738105,236278.9026,12.37139121,515098.8576,13.07379951,629282.7432,13.35233595
conglobatus,G.conglobatus,20,A,1,115697.7123,11.65873614,115697.7123,11.65873614,115697.7123,11.65873614,115697.7123,11.65873614,115697.7123,11.65873614,115697.7123,11.65873614,115697.7123,11.65873614
conglobatus,G.conglobatus,20,B,9,140336.8812,11.85180111,162635.8212,11.99926875,229486.786,12.28528023,223402.0968,12.31672855,285792.534,12.56302142,359778.42,12.77903779,407824.3152,12.91859176
