"area","diam.max"
310820.598,676.88993
394158.726,769.41985
217524.4956,578.89244
596666.3832,963.24914
497552.5872,874.81785
484719.048,861.22549
415146.3552,810.20627
403757.2548,802.0481
434642.9508,823.60211
367226.9316,722.86057
495149.6268,869.4332
364304.772,744.18578
476212.1688,853.70325
367899.228,742.97729
337053.4704,681.73052
520490.5416,871.0242
436453.4916,802.08544
325744.2468,714.18948
327002.3064,688.64738
312238.4112,677.95115
366561.2916,753.94734
330097.5324,701.34727
438909.7032,823.45662
319620.3588,669.49384
473742.6444,841.27387
319500.5436,682.38927
297840.618,661.30589
307046.4192,665.32493
343456.9272,715.96278
387841.8024,774.42988
363053.3688,750.25229
327075.5268,723.98772
382683.0924,751.5288
351744.1452,738.5112
356144.0256,730.18102
494337.546,846.71575
400096.2348,780.9051
417243.1212,789.09628
363519.3168,727.93044
561340.8684,951.32405
431787.3552,805.76998
417915.4176,795.11732
