"area","diam.max"
48225.618,264.24541
56020.2624,288.51045
63282.3948,315.53094
59241.96,289.10969
86486.6052,349.97774
98434.8432,375.45871
35684.9604,230.02548
83750.8248,364.17319
85315.0788,359.96317
45949.1292,259.86377
85987.3752,351.34447
41515.9668,251.74508
79976.646,343.0527
107494.2036,389.58854
88370.3664,372.60238
48538.4688,269.13741
114157.26,409.63543
96870.5892,381.01106
83185.0308,362.12026
72055.53,326.31646
135670.7448,447.5984
79790.2668,361.23686
67169.7324,322.5
124028.7012,423.0964
123103.4616,409.23712
90487.1016,368.51577
94401.0648,379.2249
105969.888,394.60507
116813.1636,429.59131
98980.668,384.66234
160412.5836,488.02253
183570.1992,531.88063
193108.8204,526.65504
