"area","diam.max"
252790.1028,673.45908
329525.082,782.65906
220479.9372,617.05704
103313.9844,416.97142
139358.3904,470.11253
314787.8124,737.21666
404702.4636,871.56662
265510.4832,692.69517
126012.3084,460.17394
218516.2992,612.28678
371893.068,782.65906
333898.3368,797.93356
197661.798,589.46084
172320.8832,540.94547
164113.542,532.30596
310927.1004,727.56
257922.1872,720.11585
164852.4024,534.78241
229625.8308,651.29033
184182.588,585.18245
80156.3688,361.43028
275515.0524,676.41775
161870.3352,554.29185
304530.3,713.98907
189261.4212,564.28912
187697.1672,583.83297
129560.1696,474.97232
192077.0784,569.62521
104685.2028,390.97004
129719.9232,475.56756
82565.9856,388.14211
