"area","diam.max"
300662.9316,844.40133
323154.9072,806.18292
176727.42,565.64992
125839.242,454.87822
498071.7864,949.56619
300802.716,698.43702
123409.656,474.78309
184801.6332,524.62256
158635.3248,650.20607
270635.9112,702.83102
66018.1752,322.57223
60879.4344,317.34
301281.9768,732.73817
253382.5224,752.90041
461734.4988,949.22264
60766.2756,316.12107
403184.8044,889.86066
191111.9004,582.10884
64613.6748,318.13607
442823.6664,879.78378
568849.2876,1030.46699
494963.2476,1026.41856
596393.4708,1096.43929
