Measurement Table conglobatus44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,217749.0862,1.054642841,555.2079514,481.7745543,0.948254971,216623.1549,1874.929215,281.8326773,225.8979781,1,1.291382906
P1R2,66214.81478,1.019997187,305.8114778,270.576558,0.941220538,65605.60551,944.541089,155.670872,125.6350787,1,1.08215861
P1R3,381469.5536,1.16472431,751.2115481,599.3046474,0.977688016,380023.0733,2460.582024,381.8621873,270.8170766,1,1.267814998
P1R4,92812.93171,1.127883416,369.3053939,304.8995344,0.982145996,92073.03398,1125.846928,184.7628508,136.3279066,1,1.095510129
P1R5,302401.0264,1.148111472,680.7032616,558.0974968,0.9917095,302721.7158,2098.070975,349.0750476,245.0112096,1,1.157142733
P1R6,293059.8176,1.095076893,656.856837,560.749899,0.97461001,291724.7847,2071.018468,338.2319102,252.0931661,1,1.169997066
Mean value,225617.8717,1.101739353,553.182745,462.567115,0.969271505,224795.228,1762.498117,281.9059242,209.2970693,1,1.177334407
Standard Deviation,113902.1657,0.051227014,163.927185,128.8095696,0.018244199,113776.8917,544.9975962,84.70304289,56.99581062,0,0.078960942
Minimum,66214.81478,1.019997187,305.8114778,270.576558,0.941220538,65605.60551,944.541089,155.670872,125.6350787,1,1.08215861
Maximum,381469.5536,1.16472431,751.2115481,599.3046474,0.9917095,380023.0733,2460.582024,381.8621873,270.8170766,1,1.291382906
Range,315254.7388,0.144727123,445.4000702,328.7280895,0.050488962,314417.4678,1516.040935,226.1913153,145.1819979,0,0.209224296
Sum,1353707.23,6.610436119,3319.09647,2775.40269,5.815629029,1348771.368,10574.9887,1691.435545,1255.782416,6,7.064006442
Index of Minimum,2,2,2,2,2,2,2,2,2,1,2
Index of Maximum,3,3,3,3,5,3,3,3,3,1,1
Number of Elements,6,6,6,6,6,6,6,6,6,6,6
