Measurement Table elongatus25.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,65469.42182,1.300567142,334.4226817,249.9455516,1.037652631,64674.25996,1016.368306,169.5529013,108.9725518,1,1.27104497
P1R2,111700.5267,1.248174641,424.8201623,307.4182378,1.027763275,111048.2968,1247.399271,215.1195231,143.1044876,1,1.115036866
P1R3,83317.84838,1.160897114,367.865977,293.1046552,1.011797554,82420.5452,1149.602993,187.5597178,129.5588872,1,1.275999329
P1R4,111279.9452,1.145345762,404.5557317,326.4628244,1.035402296,110233.4202,1267.261422,207.9197153,143.5264134,1,1.15933595
P1R5,79752.76318,1.157219985,350.4141513,278.5216016,1.016752368,78905.02863,1051.419413,183.3307387,127.9348283,1,1.11490396
P1R6,97535.47389,1.228196917,398.1495627,301.2533776,1.052724329,96561.23632,1180.643825,207.6182741,131.1379725,1,1.148748982
P1R7,70789.12038,1.252347204,341.8708095,255.1691016,1.018819153,69974.24377,993.3533874,175.1103591,115.0443597,1,1.12217218
P1R8,44601.35166,1.146102476,263.1128442,215.7997719,0.990139369,43963.90785,774.4898178,136.2011219,94.64110559,1,1.085738638
P1R9,26858.07046,1.160796568,205.2409898,166.055332,1.001224088,26363.55864,599.5594186,106.1035639,73.05443127,1,1.085052081
P1R10,51948.38439,1.226538537,294.7312413,219.2063733,1.034446474,51256.725,851.4733169,154.2037378,97.13160816,1,1.125593014
P1R11,63169.36685,1.204587535,321.7231099,249.866663,1.020802685,62388.99105,933.5928473,164.8817095,110.8799121,1,1.111724627
P1R12,57596.66224,1.110273155,290.0280953,246.0035204,0.982439859,56870.50202,882.6507975,150.4761054,112.0177553,1,1.090136626
P1R13,54922.02689,1.20033601,294.5305011,228.9790295,1.014917943,54190.93798,871.9586343,152.0621825,105.1398763,1,1.11649107
P1R14,63011.64879,1.332066513,321.0022783,216.4686844,1.085200672,62201.70086,966.6196149,164.2773577,95.84317906,1,1.19536106
P1R15,65781.57214,1.153626389,323.7745109,262.481435,1.012634255,64994.62476,956.0389022,165.8211709,116.5689647,1,1.119086987
P1R16,76190.96377,1.185219958,348.3073962,278.0197658,1.001576186,75349.80081,1024.630832,180.4190272,121.5149441,1,1.10877363
P1R17,37438.32332,1.135222187,241.331054,198.5852093,0.981399093,36841.95193,713.0772248,123.7981309,90.08537591,1,1.098299174
P1R18,32749.49698,1.156093114,223.8489232,181.2675595,0.977684266,32212.26985,662.2891993,114.8537337,81.89967361,1,1.083587967
P1R19,23424.41697,1.124667191,184.2609485,155.0976763,0.933215211,22970.97756,550.1610923,93.15798868,71.72216497,1,1.048553096
P1R20,28757.25871,1.123038156,203.3431011,171.7073642,0.956498186,28247.96082,619.1854618,108.3346537,78.32001238,1,1.080051729
P1R21,53732.56989,1.206185284,291.1644559,231.0717058,1.000195572,53599.49528,863.2015407,154.9594485,104.3710941,1,1.106251495
P1R22,32309.20074,1.233358862,226.4176218,176.1655844,1.012977682,31768.68782,659.5197349,118.3338463,78.75499043,1,1.089548259
P1R23,50114.912,1.151446347,284.9131648,225.654451,0.98298157,49426.5384,828.4273837,150.6020374,105.2623075,1,1.104940402
P1R24,27449.51317,1.134243555,203.0196667,171.0555027,0.970971369,26959.93004,600.9929649,105.2223296,76.14748328,1,1.066130021
P1R25,66639.16406,1.198861441,324.6106741,246.1103507,0.999513712,65857.14537,967.8894578,163.6676808,115.6900458,1,1.131980054
P1R26,66504.44655,1.259925639,325.9289519,250.0244154,1.006932366,65725.71366,953.1861223,165.90964,113.2542588,1,1.100044536
P1R27,32854.64235,1.113141133,221.1464226,187.373147,0.983480083,32312.48653,663.8674286,116.1983571,82.31876918,1,1.085381714
P1R28,78402.30233,1.126553997,337.8051193,280.8418963,0.99855201,77541.42462,1043.86371,177.6636137,123.9343297,1,1.118263065
P1R29,38049.48079,1.127687549,238.6475368,200.0934418,0.9729126,37462.96677,710.4916338,122.7440795,89.29551473,1,1.072274374
P1R30,60366.58558,1.212827495,301.738352,229.2371795,0.972325704,59627.28219,897.6664525,154.4402407,113.2964265,1,1.07541263
P1R31,58740.11814,1.195742019,306.6798551,236.8231356,1.019463426,57994.24317,902.8251304,157.3889874,106.0679333,1,1.118439639
P1R32,37057.17136,1.169603087,236.3022706,189.2228429,1.001344013,36472.30023,704.2271897,124.779324,85.05548969,1,1.082063084
Mean value,57766.08593,1.183777905,294.8658801,232.0339809,1.003585625,57075.59857,878.3729539,152.2722281,104.4233483,1,1.115825663
Standard Deviation,23102.50863,0.054585168,62.14769992,44.24493593,0.029023346,22973.96479,190.8121133,31.49771279,19.75268826,0,0.049503833
Minimum,23424.41697,1.110273155,184.2609485,155.0976763,0.933215211,22970.97756,550.1610923,93.15798868,71.72216497,1,1.048553096
Maximum,111700.5267,1.332066513,424.8201623,326.4628244,1.085200672,111048.2968,1267.261422,215.1195231,143.5264134,1,1.275999329
Range,88276.10974,0.221793358,240.5592138,171.3651481,0.151985461,88077.31927,717.1003294,121.9615344,71.8042484,0,0.227446234
Sum,1848514.75,37.88089296,9435.708162,7425.087387,32.11474,1826419.154,28107.93453,4872.711298,3341.547147,32,35.70642121
Index of Minimum,19,12,19,19,19,19,19,19,19,1,19
Index of Maximum,2,14,2,4,14,2,4,2,4,1,3
Number of Elements,32,32,32,32,32,32,32,32,32,32,32
