Measurement Table elongatus46 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,52122.53141,1.206358471,287.2104256,219.333747,1.074135334,51802.16661,860.9354515,149.6366438,92.60211577,1,1.138632081
P1R2,53988.86173,1.236253202,297.5494705,225.654451,1.106677028,53252.84414,888.0865059,156.8704538,91.0809552,1,1.178576811
P1R3,70522.97117,1.257566593,338.7327635,240.6766327,1.058434797,69982.45825,999.0412866,170.2780578,109.4320715,1,1.13492676
P1R4,47709.71166,1.190354309,278.3799984,210.0593052,1.032116401,48733.23612,827.2186817,142.4975598,94.9139484,1,1.11739204
P1R5,29098.98116,1.314742553,221.1909921,145.9738552,1.090241215,28573.25431,635.0308384,111.8516687,68.22045937,1,1.123104281
P1R6,47384.41817,1.280505658,274.3375374,209.5895134,1.032192747,46725.61671,800.2276807,140.6675151,93.3436919,1,1.090591868
P1R7,98741.35985,1.321266762,400.6013066,249.9455516,1.142095907,97750.69332,1214.115205,207.3117502,109.6239651,1,1.200024484
P1R8,27738.66294,1.080105869,199.0479584,166.8055561,0.93775161,27229.36505,601.0984455,102.0308289,80.58341821,1,1.055951211
P1R9,36718.7347,1.197397188,236.1005614,186.6351779,1.012307324,36145.36385,701.7244793,121.3645507,82.17000639,1,1.084103659
P1R10,43303.4635,1.204574841,255.4843914,198.2540129,1.045064338,42659.4481,768.0846731,132.6565606,89.28429502,1,1.100507794
P1R11,32496.49093,1.285084503,225.2390753,151.8325472,1.059803535,31947.76353,670.7557952,115.9501438,72.75557662,1,1.120672108
P1R12,33495.37195,1.069691903,215.7083958,192.5621248,0.983478967,32943.35875,672.9727832,116.3753453,83.69764571,1,1.093999901
P1R13,28178.95917,1.141174832,206.9707248,171.0651069,0.973199073,27664.7326,613.521962,109.8320632,76.17180155,1,1.082739318
P1R14,35979.43131,1.29676404,239.4447719,163.2817286,1.042998321,35404.41757,699.2924463,121.9874904,75.29197223,1,1.099133329
P1R15,52313.10739,1.136266405,280.6546371,235.7384438,1.019412322,52648.25826,858.0528305,150.8397491,103.7333784,1,1.112843787
P1R16,136028.5367,1.347666137,482.4918868,300.9096086,1.194709697,135619.4555,1472.828625,250.6372847,124.8679059,2,1.27283642
P1R17,98807.07571,1.288442248,411.9242973,299.6402654,1.07481184,97819.69497,1190.241812,206.4187462,124.2941516,1,1.152482284
P1R18,130202.826,1.220645051,465.8611546,352.5409383,1.116511414,129046.227,1412.638396,246.4186149,137.3091095,2,1.230571516
P1R19,50423.77652,1.085383657,266.931484,237.7992732,0.935406622,49751.83189,815.9123793,142.2641943,108.192561,1,1.064800204
P1R20,46592.5421,1.244988488,267.8469718,191.5098415,1.011834662,45932.09775,798.5159073,136.6722452,90.30469463,1,1.104691523
P1R21,87503.94843,1.304897918,380.8258437,240.1025508,1.101451636,87055.43771,1131.038535,194.8648942,110.5712165,1,1.169362216
P1R22,55102.74549,1.236795528,296.1492559,220.8788168,1.062989027,54384.79976,876.6135878,152.5053486,97.64118556,1,1.124421185
P1R23,64105.8178,1.388818853,324.6865822,202.2413137,1.055469367,63320.51332,945.5779307,163.976984,96.39954422,1,1.123674137
P1R24,45541.0884,1.259240209,271.9013393,196.6063749,1.078611576,44875.71536,798.0511171,137.8060391,85.62052216,1,1.129380259
Mean value,58504.22559,1.233124384,296.8863261,217.0681974,1.051737698,57969.53127,885.4823898,153.4047805,95.75442469,1.083333333,1.129392466
Standard Deviation,29848.90422,0.082921224,77.4475074,48.02958276,0.059235908,29734.08458,234.8535888,39.99087161,17.16598229,0.276385399,0.049987709
Minimum,27738.66294,1.069691903,199.0479584,145.9738552,0.935406622,27229.36505,601.0984455,102.0308289,68.22045937,1,1.055951211
Maximum,136028.5367,1.388818853,482.4918868,352.5409383,1.194709697,135619.4555,1472.828625,250.6372847,137.3091095,2,1.27283642
Range,108289.8738,0.31912695,283.4439284,206.5670831,0.259303075,108390.0905,871.7301797,148.6064558,69.08865012,1,0.216885209
Sum,1404101.414,29.59498522,7125.271826,5209.636737,25.24170476,1391268.75,21251.57735,3681.714732,2298.106192,26,27.10541918
Index of Minimum,8,12,8,5,19,8,8,8,5,1,8
Index of Maximum,16,23,16,18,16,16,16,16,18,16,16
Number of Elements,24,24,24,24,24,24,24,24,24,24,24
