Measurement Table glutinata31,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,27206.3645,1.248513469,204.1816329,154.0774256,1.002497386,26708.56689,643.9750772,104.8191232,68.52533291,1,1.235599407
P1R2,29792.28344,1.261848002,216.1648899,151.105838,1.064936779,29253.41342,643.3887519,111.2243579,68.71119856,1,1.126057419
P1R3,45087.64899,1.240136632,262.5627906,186.7055863,1.03513516,44430.49043,787.3875555,135.2724052,89.88166473,1,1.110417105
P1R4,29595.13588,1.301969664,221.3617587,152.404952,1.081445913,29074.33771,643.1695136,113.4709227,69.79574385,1,1.132221057
P1R5,42324.29724,1.321937117,266.4571469,164.9534792,1.133506638,41660.56709,789.17845,139.2040313,76.33097398,1,1.189639607
P1R6,48583.73255,1.130732906,273.2574641,210.7698243,1.06821361,47908.50212,830.3383644,142.0227068,88.21639118,1,1.145216965
P1R7,25389.32107,1.220513417,197.0487597,143.6481078,1.093527704,24886.17705,646.3062045,106.4075115,60.86649324,1,1.335699062
P1R8,42892.73939,1.244866396,255.6386772,177.7531538,1.054342388,42252.00979,774.3664341,131.5373998,84.59405931,1,1.129368902
P1R9,31793.33127,1.351192656,227.8858386,145.2970021,1.072784111,31247.80413,711.888083,115.7504205,71.26992192,1,1.290607247
P1R10,37425.18015,1.336280393,248.6737235,161.3383112,1.06934044,36830.25531,768.9419543,128.6452833,76.11243363,1,1.27753422
P1R11,35502.99135,1.317411908,242.0312259,151.1493217,1.075673134,34906.61996,708.5795053,124.9422944,75.25431461,1,1.144615264
P1R12,39695.66299,1.21966114,245.4084279,192.2632808,1.012611053,39098.29386,775.4570778,127.9421202,83.47676137,1,1.22390548
P1R13,42771.16506,1.250301869,257.9482593,199.4272705,0.999981753,42143.57863,753.9134289,133.3483261,94.72979999,1,1.073251995
P1R14,34027.67038,1.306344182,234.9566025,149.5320036,1.049738219,33452.65664,688.0506378,118.2382199,72.57954777,1,1.126160649
P1R15,38732.92569,1.266021468,249.8403612,178.9781946,1.128304993,38106.98216,762.533175,134.6464846,74.4188175,1,1.214235949
P1R16,30728.7344,1.330957074,226.6351987,145.9738552,1.054417383,30191.50727,652.155913,115.81038,71.47543255,1,1.121006768
P1R17,37973.90755,1.281394244,242.2347788,171.0074737,1.044108008,37372.42402,769.2345836,129.168112,80.56719161,1,1.259959229
P1R18,81106.50982,1.264902635,361.6821581,254.4792537,1.103744841,80220.98866,1086.080016,190.2303652,117.6152153,2,1.170107581
P1R19,34047.38514,1.183330257,228.7780447,178.067124,0.995917254,33489.37684,720.5579739,115.9931221,80.38854674,1,1.233732337
P1R20,37083.4577,1.029726639,227.0407841,203.5369151,0.986702421,36483.80051,720.9612483,122.4226999,84.69592294,1,1.133741199
P1R21,32677.20953,1.38337213,232.3055341,136.2524473,1.116498711,32103.83869,702.734883,118.892319,66.55377255,1,1.22409808
P1R22,42110.7207,1.136259234,250.0178443,199.5013994,1.047054091,41479.84848,771.2353698,132.7293704,87.56278064,1,1.141108323
P1R23,41052.69542,1.152627871,246.5838519,193.5577683,0.982745471,40447.01946,785.3703859,125.7372615,87.97116943,1,1.213536032
P1R24,34119.67258,1.106888948,219.3412373,181.2766227,0.970230534,33574.23097,672.35413,114.5662693,84.43964869,1,1.071470546
P1R25,37513.89656,1.059957672,229.931308,189.2228429,1.027169617,36913.60973,774.8491526,125.4869132,81.83228877,1,1.294308984
P1R26,47210.27115,1.224040017,271.6413982,205.9202668,1.085211088,46521.89756,824.9549156,143.3523108,87.03405526,1,1.164107711
P1R27,45311.0829,1.351292677,275.3835473,183.8056629,1.094915729,44637.49538,802.2719379,141.5567493,83.83643922,1,1.147449397
P1R28,30308.15292,1.209705161,218.2825728,168.7346874,1.02147743,29774.00848,676.7016502,112.9402832,72.91663723,1,1.223903906
P1R29,45258.51022,1.331216511,276.9362563,176.3892632,1.131942931,44581.6369,818.2886685,146.9550887,82.65628015,1,1.195218265
P1R30,43937.62151,1.341169067,270.5809222,163.5833019,1.078784576,43277.53273,855.073682,138.6841891,78.24220387,1,1.344419314
P1R31,27643.37494,1.251214364,208.1974515,142.1997503,1.043457622,27132.41571,649.1882309,105.3526882,70.33200744,1,1.236069728
P1R32,53334.98896,1.185211042,291.096738,217.5286241,1.080369722,52603.43336,927.8766338,152.2433963,93.40386245,1,1.302436453
P1R33,26884.3568,1.281486126,205.0808329,143.556583,1.106408058,26368.48733,620.3468694,109.0069237,62.47610718,1,1.161379432
P1R1,31717.08327,1.305038574,226.9168397,159.2785153,1.063102308,31282.79547,714.2657631,116.1157525,69.40985916,1,1.297789539
P1R2,28293.04569,1.249127949,207.8208825,156.4960603,1.03187306,27884.89558,625.2714008,107.2479402,68.77880076,1,1.115727827
P1R3,30002.04859,1.239201915,218.1990152,164.6108856,1.045529127,29583.84553,643.2668061,112.2079715,73.22097878,1,1.113058048
P1R4,21627.93437,1.134645766,178.2847256,145.8011849,0.978719474,21282.11261,537.3440968,90.18149921,64.03354145,1,1.079643526
P1R5,25878.32512,1.320083156,205.0744877,123.5492282,1.112754373,25480.22797,620.3476835,103.7214384,60.22894216,1,1.201869122
P1R6,27782.35541,1.321292576,215.5149129,141.4617216,1.13182454,27358.12057,641.4038306,112.4855956,62.81463485,1,1.196649591
P1R7,29475.27358,1.318067525,216.4086673,139.6594057,1.047993211,29048.02285,648.5890109,110.7107676,69.0937972,1,1.152425214
P1R8,40907.49769,1.197119001,249.5960381,181.4149242,1.05973894,40414.27259,812.625033,131.5329298,86.85845967,1,1.300276711
