Measurement Table menardii20,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,677857.5464,1.272671118,1044.265511,780.1777512,1.028827177,673844.3962,3312.267207,542.7914612,341.5219068,1,1.295630807
P1R2,679179.0483,1.170874377,1030.542265,822.8876579,1.002363173,675186.1666,3087.200104,543.1635569,373.8779803,1,1.123301094
P1R3,658035.0168,1.290516532,1038.828405,728.3695747,1.110830409,654579.9896,3162.967799,526.8765863,283.1848903,1,1.216233533
P1R4,222660.9216,1.466110601,646.7736699,405.0141968,1.226702178,220248.9778,1870.730382,340.9544393,173.1093238,1,1.264441248
P1R5,638796.2181,1.326560043,1054.363852,744.7045881,1.049341681,634953.3228,2983.911694,547.6807884,321.5416151,1,1.115887185
P1R6,317419.9098,1.540626677,786.6096804,506.99536,1.082593305,314683.671,2131.395188,412.1391322,230.9524809,1,1.148798636
P1R7,279169.3189,1.189079968,660.9889476,514.2986284,0.995675068,276700.6235,1932.82264,340.4288608,231.7520964,1,1.074395121
P1R8,279971.9489,1.366653852,697.3728854,475.7708316,1.048882996,277426.2335,1956.614592,358.0934774,218.958811,1,1.098128614
P1R9,99185.61443,1.089967004,377.667886,326.1049306,0.963082574,97718.17972,1138.909493,195.4288457,147.4839049,1,1.056314434
P1R10,186088.5571,1.292450763,548.3634784,393.02646,0.999637536,184017.1231,1583.867277,279.5884184,176.3445988,1,1.084849501
P1R11,587363.0369,1.327250335,983.3734069,692.1391671,1.042797097,583674.1817,2853.276077,510.1641721,297.3903268,1,1.109959836
P1R12,464017.4478,1.266830444,861.5983444,647.9508982,1.005234269,460721.8002,2521.632103,445.5252104,281.6799041,1,1.098284475
P1R13,658107.9831,1.278327632,1019.413169,732.70328,1.020765536,654224.5509,2990.205009,515.8242207,321.2898349,1,1.087590108
P1R14,376441.593,1.20124521,762.9291018,602.0300308,0.990367593,373547.2605,2250.37155,392.1616807,275.8749121,1,1.07883011
P1R15,456712.7037,1.280121051,864.4166424,620.4926167,1.02009207,453510.291,2490.285795,440.0824612,265.3212306,1,1.088181638
P1R16,544839.8599,1.218400459,923.707888,695.8540915,1.057527059,541244.2395,2766.958607,488.5656244,291.2781701,1,1.125646939
P1R17,308518.013,1.26325634,699.2189115,531.3179512,1.018279787,305830.4185,2056.158537,354.3543291,247.7471811,1,1.100075956
P1R18,624527.2397,1.308101646,1005.016019,724.8269137,1.052911791,620696.5055,2977.732201,516.3692856,309.4897508,1,1.136794939
P1R19,246966.8291,1.443825317,671.7864079,443.1350894,1.041501363,244595.4221,1838.198786,347.7594177,192.9592817,1,1.099326717
P1R4,384573.2892,1.353734623,801.5213216,543.6938165,1.033752778,381589.7756,2286.796963,409.5217773,257.0597076,1,1.090557682
P1R5,621835.5915,1.254504305,979.2425049,715.4942547,1.067537206,618053.5015,2928.43856,511.1954426,292.011536,1,1.104170956
P1R6,646182.0359,1.337846683,1038.098443,757.5489911,1.002385394,642335.0869,2959.472154,532.322303,338.5981791,1,1.08506818
P1R7,519788.074,1.281327977,924.5983232,678.3915457,1.00573098,516411.3527,2651.104991,481.2631871,307.1581044,1,1.083049312
P1R8,418794.5152,1.224334207,827.5591883,634.0955053,1.033991612,415681.2835,2384.957227,440.6616817,275.7363256,1,1.088907217
P1R9,687302.6372,1.400936969,1096.730653,726.4971849,1.089958109,683305.7017,3105.469502,567.0817353,296.7502618,1,1.123129022
P1R10,831824.6874,1.257326832,1153.188823,827.3044341,1.047774343,827389.9538,3433.668929,614.2251844,364.2748864,1,1.13395743
P1R11,323727.4468,1.487023647,776.2449716,494.783051,1.062910287,320983.1007,2120.973706,405.652612,213.4742884,1,1.115266246
P1R12,103482.5227,1.270506669,414.0415738,308.9467834,0.998039733,101954.2827,1169.489608,209.7936777,139.4159924,1,1.067523436
P1R13,417975.6704,1.36604252,837.8164759,554.7575325,1.060435588,414923.2441,2405.490594,435.7171561,245.7067562,1,1.109761665
P1R14,529833.1105,1.265091983,926.4028807,714.5247845,0.986140154,526415.8523,2663.20736,475.1081003,325.9441054,1,1.072188545
P1R15,410922.255,1.205716349,799.2574259,624.5299507,0.979241986,407886.0434,2343.72611,412.3192956,270.9353876,1,1.071679759
P1R16,487472.081,1.288704669,891.2917865,650.348828,1.007308051,484095.3597,2574.504091,455.0941546,281.8504404,1,1.089548106
P1R17,523501.2514,1.205691305,902.4332251,710.3541106,0.96773455,520136.6911,2625.169249,460.3672954,320.8562867,1,1.054356023
P1R18,275115.6318,1.509448223,715.924709,438.0471774,1.096739363,272614.5069,1965.66684,367.3512279,187.769531,1,1.127875122
P1R19,808070.0814,1.252153809,1138.396913,834.738441,1.033853963,803817.7637,3321.39734,591.1343715,372.854936,1,1.092129718
P1R20,382627.5194,1.269086515,779.9023225,585.3354836,0.992989789,379704.8111,2259.130074,402.0201636,259.0723112,1,1.069612652
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
