Measurement Table sacculifer27 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,83326.96031,1.321847508,369.9880166,261.230724,1.054850895,82621.24264,1097.898886,192.0728398,118.7379377,1,1.160975682
P1R2,39220.6113,1.335552481,253.052037,162.1248427,1.129382953,38703.88925,792.4282418,132.0163113,72.18902155,1,1.291086795
P1R3,46760.32999,1.372944311,281.2448863,177.385905,1.071950264,46213.44906,843.703983,146.6246713,84.90797636,1,1.225750202
P1R4,97915.81332,1.345470403,403.9176393,261.9570442,1.079098862,97127.66139,1218.831828,209.3716437,123.1269997,1,1.217123922
P1R5,52884.59215,1.182884695,284.6839279,227.2842521,1.00448485,52335.70063,851.6862388,148.260539,102.0036494,1,1.102938698
P1R6,32376.55733,1.362314334,236.3945522,146.9276099,1.056169305,31930.20598,690.2031259,122.9440142,66.51548888,1,1.18725028
P1R7,102011.3885,1.483938645,426.4057035,254.8413641,1.071892413,101237.3107,1217.298165,214.7297742,115.0450298,1,1.164778892
P1R8,83349.07682,1.325008832,371.6011766,250.86556,1.078725937,82645.36974,1086.211937,188.7526645,114.1950944,1,1.136058702
P1R9,38504.84067,1.295140006,249.1243525,168.1635262,1.069455471,38013.25102,765.3012304,127.0951222,78.73361116,1,1.226083271
P1R10,113986.4724,1.29760565,430.1449715,318.900825,1.095689543,113152.0768,1296.85362,232.849032,133.2475278,1,1.182795176
P1R11,107367.6047,1.369982693,424.3733206,256.237938,1.073006884,106553.315,1260.571069,216.006645,126.9341605,1,1.186746235
P1R12,95635.80238,1.108681083,375.8218365,323.0009298,1.009388585,94885.8517,1169.794166,201.761344,141.1815722,1,1.14764508
P1R1,36922.50505,1.401216015,251.761597,147.2624919,1.100348857,36437.95246,801.6088554,126.5270609,70.80236417,1,1.403334509
P1R2,195379.2435,1.442940554,586.2615458,330.4318077,1.095982789,194281.4605,1713.434791,298.7435589,157.7753487,2,1.202524573
P1R3,131251.4229,1.188809502,467.5807266,362.9877443,1.046119896,130426.075,1369.221465,242.2643253,156.2025617,1,1.143860676
P1R4,78933.81756,1.387320032,367.9308845,231.243801,1.097850106,78240.16344,1085.916378,189.8911956,106.6772038,1,1.199369982
P1R5,93806.16398,1.446934549,411.045081,259.4854596,1.151326633,93042.13916,1176.224863,215.1840742,107.2342692,1,1.183289963
P1R6,45272.49216,1.18970529,259.9460793,203.341627,0.938037729,44774.87073,774.1339229,133.0557166,97.19320638,1,1.065094186
P1R7,146781.2328,1.377546335,499.1215867,324.7236965,1.090849695,145900.5936,1462.77079,258.939886,142.7972018,1,1.167039772
P1R8,28351.35285,1.293071201,215.1274008,151.163402,1.007112216,27948.22922,619.7318413,111.8268914,71.31571801,1,1.093562178
P1R9,100963.8703,1.312073124,409.7590732,292.7790368,1.102900862,100187.1954,1284.60615,215.3926682,121.7564406,1,1.31074416
P1R10,43171.42389,1.262799909,259.9190066,182.9104837,1.035080383,42675.81305,775.5539854,132.1554058,90.74831831,1,1.121585591
P1R11,119248.1907,1.370152808,448.2930712,284.3977512,1.06453805,118408.7687,1308.665356,229.3113112,130.6337018,1,1.150968673
P1R12,145086.304,1.380610328,495.8418781,296.9452936,1.106586704,144145.3471,1462.629516,251.9658827,140.5794591,1,1.181022565
P1R13,70165.62737,1.326270589,339.3295937,221.9674489,1.072582458,69500.12154,1030.762285,173.4847603,104.0665659,1,1.216526663
P1R14,36838.0602,1.321212501,243.8385044,154.4202608,1.053874814,36372.60823,727.4898826,123.9795044,74.09979276,1,1.157896198
P1R1,235200.3354,1.382379261,632.0106039,360.4718611,1.13239228,233641.2267,2010.179887,321.4707822,173.5220709,1,1.376291811
P1R2,111404.8054,1.484829406,466.7595661,242.2347788,1.219202819,110285.9929,1349.293842,243.1011977,111.0748086,1,1.313659697
P1R3,77547.9962,1.277824919,346.7899981,242.8308832,1.020431535,76705.19035,1037.588382,177.2542196,118.1343621,1,1.116903382
P1R4,102437.8768,1.328914728,417.9151005,293.5471283,1.065572273,101437.3529,1222.167816,218.0292767,130.7102395,1,1.171801194
P1R5,182561.9345,1.342547421,559.247878,394.0975193,1.12116867,181576.1967,1654.915548,301.1970441,167.1091565,1,1.200280954
P1R6,86570.78327,1.404114784,384.4411018,225.3849083,1.087215579,85626.11784,1139.504952,196.8794973,109.0364315,1,1.206747303
P1R7,62137.6279,1.30325088,314.9103252,209.4091471,1.031581375,61368.75239,932.7609587,160.1439225,99.70718758,1,1.128193474
P1R9,189718.3913,1.392893625,569.3359826,357.6303752,1.095981763,188330.1438,1689.809619,291.7730844,165.260194,1,1.206551531
P1R10,64299.67958,1.302787793,319.9000112,220.2233002,1.005013883,63553.28281,982.3460387,162.1108413,107.4548755,1,1.208317777
P1R11,134530.2152,1.379539068,476.2095785,302.998906,1.103366385,133355.5443,1433.006292,243.530151,139.1635328,1,1.225392663
P1R1,53095.12608,1.362413015,299.2287656,196.1127351,1.038086244,52393.60931,852.3623528,152.6324166,90.87432148,1,1.103469564
P1R2,65613.9967,1.25301339,324.4638682,241.3650898,1.052931592,64818.83484,966.1747877,169.9210098,103.5428674,1,1.146041483
P1R4,75589.66369,1.264962846,346.0739055,251.1259076,1.093933467,74725.50017,1044.666826,184.3008818,105.7008236,1,1.162189465
P1R5,31034.31313,1.33278036,226.1998358,146.1200934,1.072811436,30480.65704,675.9889455,115.1490889,71.19754105,1,1.193012573
P1R6,80419.77912,1.377286719,366.9358692,227.561189,1.100366836,79519.47189,1088.038252,188.3720894,108.6670139,1,1.184690751
P1R7,366783.1944,1.42998976,814.2929386,507.241566,1.151364696,365608.5235,2371.722941,438.710756,220.812761,6,1.224339198
P1R8,53229.84359,1.298945354,288.5800043,197.5899547,1.005249166,52520.11234,850.0764564,145.351987,95.82967501,1,1.094915206
P1R10,325326.3465,1.164619225,759.744653,448.3798826,1.132803595,327322.4656,2345.816731,392.8083306,217.2100474,5,1.337834842
P1R11,60360.01399,1.224094876,303.497331,241.4399518,1.021927629,59607.56744,905.4470769,158.3256534,105.8774649,1,1.094497819
P1R12,303239.2472,1.095360652,677.9406727,570.005057,1.027809902,302135.2208,2109.415367,367.1920773,243.9180984,5,1.171960604
P1R13,157274.473,1.384068785,516.1830482,298.2553752,1.113102975,156022.586,1527.285502,259.9551631,146.8712208,2,1.189715565
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
