Measurement Table truncatulinoides10.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,84617.76015,1.045735875,346.6569663,298.1076163,0.982613104,83926.11662,1081.863005,181.005483,144.7257214,1,1.109781727
P1R2,81203.77553,1.195821986,377.9982745,281.7876789,1.097176957,80600.59803,1088.674199,207.0988662,125.2012722,1,1.17016675
P1R3,89049.10414,1.213311781,380.775256,286.7002054,1.018715258,88325.29115,1120.797674,197.153771,127.7862023,1,1.131773502
P1R4,102990.5466,1.115313059,387.3712516,317.6025552,0.976635625,102235.5695,1178.764925,203.958542,140.4323775,1,1.081539901
P1R5,41786.12624,1.067148838,242.3041204,217.1136136,0.915989827,41311.62662,737.6735554,125.1705645,102.429935,1,1.048205156
P1R6,67766.99154,1.270070221,351.9638949,245.0763235,1.058525356,67124.6075,969.0681624,187.6418024,109.1322473,1,1.113312407
P1R7,128935.2213,1.214021391,461.0638297,347.5114053,1.052136767,128071.6722,1339.489798,249.9340243,151.2824025,1,1.114848613
P1R8,89509.52963,1.225216764,380.5824778,284.1148246,1.057491737,88794.7643,1114.858548,197.9013415,123.6163205,1,1.113890076
P1R9,42063.58789,1.217114162,253.4331277,198.43749,1.007486978,41578.03001,749.7313007,132.3832252,89.42066928,1,1.075814849
P1R10,81044.93879,1.168646199,349.9932803,287.2851834,0.9889408,80378.42766,1040.145436,183.8155421,128.5143546,1,1.071121623
Mean value,80896.75818,1.173240028,353.2142479,276.3736896,1.015571241,80234.67035,1042.106661,186.6063162,124.2541502,1,1.10304546
Standard Deviation,24820.31324,0.069764392,61.01915653,42.55939912,0.049901918,24710.617,174.8850373,34.24177935,18.33470751,0,0.033119271
Minimum,41786.12624,1.045735875,242.3041204,198.43749,0.915989827,41311.62662,737.6735554,125.1705645,89.42066928,1,1.048205156
Maximum,128935.2213,1.270070221,461.0638297,347.5114053,1.097176957,128071.6722,1339.489798,249.9340243,151.2824025,1,1.17016675
Range,87149.09503,0.224334347,218.7597093,149.0739153,0.18118713,86760.04555,601.816243,124.7634598,61.86173321,0,0.121961594
Sum,808967.5818,11.73240028,3532.142479,2763.736896,10.15571241,802346.7035,10421.06661,1866.063162,1242.541502,10,11.0304546
Index of Minimum,5,1,5,9,5,5,5,5,9,1,5
Index of Maximum,7,6,7,7,2,7,7,7,7,1,2
Number of Elements,10,10,10,10,10,10,10,10,10,10,10
