species,5A,5C,5L,10A,10C,10L,20A,20C,20L,25A,25C,25L,27A,27C,27L,31A,31C,31L,44A,44C,44L,46A,46C,46L,55A,55C,55L,66A,66C,66L
Beella_digitata,0,0,0.00,0,0,0.30,0,0,0.63,0,10,0.16,2,0,0.30,1,0,3.00,0,1,0.30,0,2,0.00,0,2,0.00,0,0,0.00
Berggrenia_pumilio,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
Candeina_nitida,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.16,1,1,0.00,0,0,0.00,0,0,0.00,0,3,0.50,0,0,0.00,0,0,0.00
Dentagloborotalia_anfracta,,,0.00,,,0.00,,,0.00,,,0.64,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00
Globigerina_bulloides,175,237,246.00,38,121,11.90,13,8,3.80,4,7,18.49,2,9,11.90,3,2,102.00,8,18,11.90,28,77,5.50,6,10,9.70,0,0,0.00
Globigerina_falconensis,0,0,140.00,4,0,0.70,11,0,0.95,17,18,1.53,2,7,0.70,6,3,180.00,0,0,0.70,12,14,1.50,0,0,1.80,0,0,0.00
Globigerinella_calida,1,0,3.00,1,0,2.80,6,0,4.43,8,15,0.44,11,6,2.80,15,23,22.00,0,4,2.80,12,51,0.00,3,0,0.30,0,0,0.00
Globigerinella_siphonifera,0,0,23.00,0,0,0.00,5,5,1.58,4,27,2.74,29,9,0.00,10,22,42.00,16,18,0.00,14,108,18.50,2,12,3.80,0,0,0.00
Globigerinita_glutinata,5,5,40.00,5,8,3.10,52,19,6.65,18,68,7.81,24,34,3.10,63,96,111.00,77,24,3.10,65,314,25.50,2,12,0.00,0,0,0.70
Globigerinoides_conglobatus,0,0,0.00,0,0,0.30,1,0,0.95,3,4,0.56,12,1,0.30,8,25,85.00,6,12,0.30,2,25,0.50,2,7,0.00,0,0,0.00
Globigerinoides_ruber,0,0,70.00,3,0,0.00,73,28,17.72,95,219,25.50,196,207,0.00,131,191,253.00,53,91,0.00,115,524,31.00,68,69,7.40,0,0,0.00
Globigerinoides_tenellus,0,0,3.00,0,0,0.00,0,5,0.00,20,23,2.58,9,1,0.00,19,20,10.00,0,1,0.00,6,25,1.50,0,0,0.50,0,0,0.00
Globoconella_inflata,96,80,321.00,58,88,13.60,10,6,0.32,31,10,8.50,2,3,13.60,0,0,197.00,0,0,13.60,0,0,0.00,35,71,0.30,0,0,0.00
Globoquadrina_conglomerata,0,0,0.00,0,0,0.00,2,0,1.58,0,0,0.00,1,0,0.00,0,0,0.00,0,18,0.00,1,15,0.00,0,0,0.00,0,0,0.00
Globorotalia_crassaformis,0,0,37.00,0,0,0.00,2,0,4.11,2,2,1.77,1,0,0.00,0,0,75.00,0,0,0.00,0,7,0.00,5,7,46.70,0,0,0.00
Globorotalia_hirsuta,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.00,0,0,0.00,0,0,2.00,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00
Globorotalia_menardii,0,3,,0,3,,37,0,,0,4,,1,3,,0,4,,30,3,,1,14,,23,3,,0,4,
Globorotalia_menardii_tumida,,,0.00,,,0.00,,,0.95,,,0.16,,,0.00,,,8.00,,,0.00,,,3.50,,,0.00,,,0.00
Globorotalia_scitula,0,0,0.00,0,0,0.00,0,0,0.32,2,9,2.58,1,4,0.00,0,0,4.00,5,3,0.00,0,3,0.00,0,0,0.00,0,0,0.00
Globorotalia_theyeri,0,NA,,0,NA,,0,0,,0,0,,0,NA,,0,0,,1,0,,0,0,,0,0,,0,0,
Globorotalia_truncatulinoides,14,24,43.00,10,1,0.70,6,1,0.00,12,28,6.32,3,4,0.70,0,1,21.00,1,0,0.70,0,8,0.00,10,34,1.50,0,0,0.00
Globorotalia_tumida,0,3,,0,3,,0,0,,2,4,,0,3,,0,4,,15,3,,2,14,,7,3,,0,4,
Globorotalia_ungulata,0,NA,,0,NA,,3,0,,2,NA,,2,NA,,0,0,,4,NA,,0,NA,,0,0,,0,0,
Globorotaloides_hexagonus,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,0,0.00,0,1,0.00,0,12,0.00,0,2,0.00,0,0,0.00,0,0,0.00
Globoturborotalita_rubescens,0,0,1.00,0,0,0.00,0,0,3.48,3,10,5.48,2,6,0.00,4,19,0.00,4,0,0.00,4,41,0.50,0,0,0.00,0,0,0.00
Hastigerina_pelagica,0,0,,0,0,,0,0,,0,NA,,0,0,,0,0,,0,NA,,0,NA,,0,0,,0,0,
Neogloboquadrina_dutertrei,0,0,48.00,0,0,0.70,34,3,22.78,1,0,1.01,11,9,0.70,4,0,23.00,21,29,0.70,9,87,3.50,7,25,0.00,0,0,0.00
Neogloboquadrina_incompta,8,12,,38,3,,4,0,,1,0,,0,3,,0,0,,33,1,,10,4,,33,21,,0,2,
Neogloboquadrina_pachyderma,19,26,275.00,17,163,63.90,0,0,0.00,0,0,5.96,0,1,63.90,0,0,40.00,0,0,63.90,0,0,0.00,0,0,7.10,226,530,99.30
Orbulina_universa,0,2,18.00,1,0,0.70,1,0,1.27,6,17,0.93,3,9,0.70,4,12,21.00,0,1,0.70,0,2,0.00,1,0,3.10,0,0,0.00
Pulleniatina_obliquiloculata,0,0,3.00,0,0,0.00,2,1,16.46,3,0,0.00,7,0,0.00,0,0,2.00,16,12,0.00,22,224,4.50,5,3,13.80,0,0,0.00
Sphaeroidinella_dehiscens,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,0.00,0,0,0.00,1,3,0.00,0,3,0.00,2,3,0.00,0,0,0.00
Trilobatus_sacculifer,0,0,3.00,0,0,0.00,17,5,12.03,30,27,6.44,52,34,0.00,32,56,37.00,13,60,0.00,28,195,3.50,46,75,3.30,0,0,0.00
Turborotalita_humilis,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,1,0,0.00,0,0,0.00,3,0,1.00,0,0,0.00
Turborotalita_quinqueloba,0,0,7.00,2,0,1.00,0,0,0.00,0,0,0.32,0,0,1.00,0,21,1.00,0,0,1.00,0,0,0.00,0,0,0.30,0,1,0.00
unidentified,0,2,,0,0,,0,0,,0,5,,0,1,,0,0,,0,4,,0,13,,0,0,,0,0,
total_counts,318,392,1281.00,177,386,99.70,279,100,100.01,265,528,100.08,376,367,99.70,300,500,1239.00,305,378,99.70,331,1834,100.00,260,442,100.60,226,534,100.00
