"sample","total_ssp_morpho","Lat","Long","Vessel","Date","Museum_no","OBD_IRN","Sea_Depth","cm_MIN","cm_MAX"
5,1,-50.01667,123.06667,"HMS Challenger","07/03/1874","M.192",32657,-3976,NA,NA
9,2,-40.45,49.81667,"HMS Waterwitch","22/01/1895","M.8780",38482,-3780,NA,NA
18,9,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
23,8,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,9,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
29,8,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
42,9,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
44,7,-0.7,147,"HMS Challenger","11/03/1875","M.284",33668,-2213,NA,NA
53,1,24.33333,-24.46667,"HMS Challenger","21/02/1873","M.25",33286,-5153,NA,NA
64,1,85.25,-167.9,"Alpha 6 ","08/09/1957","1,959,638",14609,-1774,NA,NA
