"ZF.PF.no.","sample","total_ssp_morpho","species","total_ind_Buckley","Lat","Long","Vessel","Date","Museum_no","OBD_IRN","Sea Depth","cm_MIN","cm_MAX"
5824,5,1,"truncatulinoides",11,-50.01667,123.06667,"HMS Challenger","07/03/1874","M.192",32657,-3976,NA,NA
5866,9,2,"truncatulinoides",6,-40.45,49.81667,"HMS Waterwitch","22/01/1895","M.8780",38482,-3780,NA,NA
5969,9,2,"inflata",33,-40.45,49.81667,"HMS Waterwitch","22/01/1895","M.8780",38482,-3780,NA,NA
6241,18,9,"sacculifer",33,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6289,18,9,"ruber",19,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6340,18,9,"conglobatus",9,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6679,18,9,"siphonifera",8,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6411,18,9,"dutertrei",19,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6623,18,9,"obliquiloculata",13,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
5771,18,9,"menardii",64,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
5841,18,9,"truncatulinoides",23,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
5980,18,9,"inflata",15,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
6216,23,8,"sacculifer",14,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
6266,23,8,"ruber",71,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
6316,23,8,"conglobatus",42,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
6657,23,8,"siphonifera",6,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
6607,23,8,"obliquiloculata",4,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
5751,23,8,"menardii",33,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
5826,23,8,"truncatulinoides",2,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
5971,23,8,"inflata",9,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
6231,25,9,"sacculifer",9,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6280,25,9,"ruber",11,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6332,25,9,"conglobatus",7,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6670,25,9,"siphonifera",5,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6029,25,9,"pachyderma",2,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6402,25,9,"dutertrei",7,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6615,25,9,"obliquiloculata",10,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
5762,25,9,"menardii",13,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
5836,25,9,"truncatulinoides",4,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
6252,29,8,"sacculifer",31,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6297,29,8,"ruber",23,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6351,29,8,"conglobatus",9,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6692,29,8,"siphonifera",11,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6420,29,8,"dutertrei",17,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6632,29,8,"obliquiloculata",8,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
5783,29,8,"menardii",24,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
5850,29,8,"truncatulinoides",1,-15.65,-179.0625,"HMS Egeria","26/08/1889","M.4080",34993,-2519,NA,NA
6235,42,9,"sacculifer",21,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6284,42,9,"ruber",3,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6336,42,9,"conglobatus",8,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6674,42,9,"siphonifera",3,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6033,42,9,"pachyderma",6,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6406,42,9,"dutertrei",19,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6619,42,9,"obliquiloculata",14,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
5766,42,9,"menardii",18,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
5837,42,9,"truncatulinoides",1,-7.59167,61.48333,"HMS Sealark","09/11/2005","M.7487",37148,-3507,NA,NA
6247,44,7,"sacculifer",23,-0.7,147,"HMS Challenger","11/03/1875","M.284",33668,-2213,NA,NA
6292,44,7,"ruber",9,-0.7,147,"HMS Challenger","11/03/1875","M.284",33668,-2213,NA,NA
