"sample","total_ssp_morpho","species","total_ind","Lat","Long","Vessel","Date","Museum_no","OBD_IRN","Sea Depth","cm_MIN","cm_MAX"
5,1,"truncatulinoides",11,-50.01667,123.06667,"HMS Challenger","07/03/1874","M.192",32657,-3976,NA,NA
10,2,"inflata",33,-40.45,49.81667,"HMS Waterwitch","22/01/1895","M.8780",38482,-3780,NA,NA
10,2,"truncatulinoides",6,-40.45,49.81667,"HMS Waterwitch","22/01/1895","M.8780",38482,-3780,NA,NA
20,10,"conglobatus",9,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"dehiscens",6,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"dutertrei",19,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"inflata",15,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"menardii",64,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"obliquiloculata",13,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"ruber",19,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"sacculifer",33,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"siphonifera",8,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
20,10,"truncatulinoides",23,-26.93667,111.18167,"HMS Penguin","16/04/1891","M.5246",36053,-3350,NA,NA
25,8,"conglobatus",42,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"dehiscens",5,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"inflata",9,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"menardii",33,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"obliquiloculata",4,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"ruber",71,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"sacculifer",14,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
25,8,"truncatulinoides",2,-21.25,-14.03333,"HMS Challenger","21/03/1876","M.408",34991,-3740,NA,NA
27,10,"conglobatus",7,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
27,10,"dehiscens",6,-19.56667,64.63333,"HMS Egeria","31/10/1887","M.3787",34671,-2708,NA,NA
