"row_findin","distance","Sample","Sample_ID","Flag","Device","Latitude","Longitude","Water_depth","Ocean","Sample_depth_top","Sample_depth_bottom","Sample_depth_average","Author","Journal","Year","Publication_doi","Resource_doi","Comment","Database","Type","Count_min","Count","Dentigloborotalia_anfracta","Globorotalia_cavernula","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_menardii","Globorotalia_scitula","Globorotalia_truncatulinoides","Globorotalia_tumida","Globorotalia_ungulata","Globorotalia_theyeri","Globoconella_inflata","Neogloboquadrina_dutertrei","Neogloboquadrina_incompta","Neogloboquadrina_pachyderma","Pulleniatina_obliquiloculata","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Berggrenia_pumilio","Globigerina_bulloides","Globigerina_falconensis","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Trilobatus_sacculifer","Globigerinoides_tenellus","Orbulina_universa","Beella_digitata","Globigerinella_siphonifera","Globigerinella_calida","Globigerinella_adamsi","Turborotalita_quinqueloba","Turborotalita_humilis","Globoturborotalita_rubescens","Sphaeroidinella_dehiscens","Candeina_nitida","Globigerinita_glutinata","Globigerinita_uvula","Globigerinita_minuta","Tenuitella_iota","Hastigerina_pelagica","Hastigerinella_digitata","Globorotalia_menardii_._Globorotalia_tumida","Globigerinoides_ruber_._Globigerinoides_white","Turborotalita_humilis_._Berggrenia_pumilio","unidentified","site","woa_tmn","woa_tsd","woa_dist"
60,250110.04895283,"RC9-139","CLIMAP_0078",0,"Piston",-47.77,123.1,4158,129,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","T. sacculifer subspecies set to N/A",1,1,NA,392,0,NA,0,0,0,0,0.06122449,0,NA,NA,0.206632653,0,0.033163265,0.066326531,0,0,0,0,0.607142857,0,0,0,0,0,0,0.005102041,0,0,0,0,0,0,0,0,0,0.015306122,0,NA,0,0,0,NA,NA,NA,0.005102041,"site60",9.321,0.79,42469.7035
52,373734.386562048,"RC8-41","CLIMAP_0070",0,"Piston",-43.63,51.267,2897,129,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","T. sacculifer subspecies set to N/A",1,1,NA,386,0,NA,0,0,0,0,0.005181347,0,NA,NA,0.227979275,0,0.007772021,0.422279793,0,0,0,0,0.316062176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020725389,0,NA,0,0,0,NA,NA,NA,0,"site52",7.779,1.802,23720.0811
2821,15415.4023349409,"FR2/96-7","MARGO_2820",0,"Gravity",-26.96666667,111.3333333,3090,129,0,0.01,0.005,"Martinez et al.","Mar Micropaleontol",1998,"doi:10.1016/S0377-8398(97)00045-5","doi:10.1594/PANGAEA.227323","missing count data set to zero as sample is assumed to be complete, recalculated to add up to 100%, T. sacculifer subspecies set to N/A",64,0,NA,NA,0,0,0,0.009955752,0.098451327,0,0.01659292,0,0,0,0.061946903,0.038716814,0.009955752,0,0.01659292,0,0,0,0.088495575,0.006637168,0.003318584,0,0.280973451,0.058628319,0.05199115,0.006637168,0,0.055309735,0,0,0,0,0.003318584,0,0,0.192477876,0,0,0,0,0,NA,NA,NA,0,"site2821",22.663,1.824,54527.7344
627,332708.360791805,"RC8C88","BUFD_0336",0,"Trigger",-24.06666667,-15.11666667,3977,11,0,NA,NA,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","N/A",34,1,NA,528,0,NA,0.003787879,0.005681818,0.026515152,0.017045455,0.054924242,0.003787879,NA,0,0.020833333,0.001893939,0,0,0,0,0,0,0.013257576,0.035984848,0.007575758,0.013257576,0.401515152,0.053030303,0.045454545,0.03219697,0.020833333,0.053030303,0.028409091,0,0,0,0.020833333,0,0,0.128787879,0,NA,0,NA,NA,NA,NA,NA,0.011363636,"site627",23.608,2.195,61966.981
178,161121.081756644,"V18-200","CLIMAP_0211",1,"Piston",-20.58,63.533,3305,129,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, G. ruber pink  G. ruber white and T. sacculifer subspecies and G. menardii and G. tumida set to N/A",1,1,NA,367,0,NA,0,0,NA,0.013623978,0.013623978,NA,NA,NA,0.008174387,0.027247956,0.008174387,0.002724796,0,0,0,0,0.027247956,0.021798365,0.005449591,0,0.564032698,0.095367847,0.005449591,0.027247956,0,0.024523161,0.019073569,0,0,0,0.016348774,0.002724796,0.002724796,0.092643052,0,NA,0,0,0.002724796,0.016348774,NA,NA,0.002724796,"site178",24.834,1.754,9546.8649
2225,281639.432203888,"7-TOW105","MARGO_1184",1,"N/A",-15.15,-176.49,2163,81,0,0.02,0.01,"Thiede et al.","Palaeogeogr Palaeoclimatol Palaeoecol",1997,"doi:10.1016/S0031-0182(97)00004-7","doi:10.1594/PANGAEA.227317","coordinate transformation error corrected, sample depth information from duplicate sample, missing count data set to zero as sample is assumed to be complete",96,0,500,NA,0,0,0,0,0,0,0.002012072,0,0,0,0,0.001006036,0,0,0,0,0.003018109,0,0.005030181,0.007042254,0.050301811,0,0.382293763,0.113682093,0.040241449,0.024144869,0.001006036,0.04527163,0.047283702,0.001006036,0.043259557,0.002012072,0.038229376,0,0,0.193158954,0,0,0,0,0,NA,NA,NA,0,"site2225",28.052,1.092,38976.6109
1461,261129.599505777,"V34-48","BUFD_1236",0,"Piston",-6.266666667,63.43333333,3882,129,0,NA,NA,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A",34,1,NA,378,0,NA,0,0,0.14021164,0.007936508,0,0.018518519,NA,0,0,0.079365079,0.002645503,0,0.031746032,0.047619048,0.034391534,0,0.05026455,0,0.034391534,0,0.240740741,0.158730159,0.002645503,0.002645503,0.002645503,0.047619048,0.013227513,0,0,0,0,0.007936508,0,0.066137566,0,NA,0,NA,NA,NA,NA,NA,0.010582011,"site1461",28.056,1.031,27001.3325
692,328480.865316024,"RC10-146","BUFD_0402",1,"Trigger",1.266666667,149.2,2468,49,0,0.02,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","sample depth information from duplicate sample, G. ruber pink abundances moved to unidentified",66,1,NA,1834,0,NA,0.00436205,0.001090513,0.022355507,0.002181025,0.004907306,0.015812432,NA,0,0,0.047437296,0.002726281,0.000545256,0.122137405,0.0087241,0.001090513,0,0.041984733,0.008178844,0.014176663,0,0.285714286,0.106870229,0.014176663,0.001090513,0.001090513,0.059432933,0.02780807,0,0,0,0.022900763,0.002181025,0.002181025,0.171755725,0,NA,0,NA,NA,NA,NA,NA,0.007088332,"site692",29.404,0.473,42300.2152
2179,202350.301301972,"V32-52","ATL947_0944",1,"Piston",22.697,-25.33,5220,7,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, sample depth information from duplicate sample, missing count data set to zero as sample is assumed to be complete",12,0,NA,442,0,0,0.017982018,0,0.135864136,0.001998002,0.078921079,0.042957043,0,0,0.162837163,0.056943057,0.047952048,0,0.006993007,0,0,0,0.022977023,0,0.017982018,0.004995005,0.151848152,0.171828172,0.001998002,0.001998002,0.004995005,0.028971029,0.001998002,0,0,0,0,0.008991009,0,0.028971029,0,0,0,0,0,NA,NA,NA,0,"site2179",23.161,1.572,28038.6953
2007,1038231.48356325,"PS1529-7","ATL947_0570",1,"Giant Box",85.39,21.775,2906,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,534,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2007",-1.914,0,12484.1171
