Core,Coring device,Lat,Long,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina_universa,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Trilobatus_sacculifer,Sphaeroidinella_dehiscens,Globigerinella_adamsi,Globigerinella_siphonifera,Globigerinella_calida,Globigerina_bulloides,Globigerina_falconensis,Beella_digitata,Globoturborotalita_rubescens,Turborotalita_humilis,Turborotalita_quinqueloba,Neogloboquadrina_pachyderma,Neogloboquadrina_incompta,Neogloboquadrina_dutertrei,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Pulleniatina_obliquiloculata,Globoconella_inflata,Globorotalia_truncatulinoides,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_scitula,Dentigloborotalia_anfracta,Globorotalia_menardii,Globorotalia_tumida,Globorotalia_menardii_._Globorotalia_tumida,Candeina_nitida,Globigerinita_glutinata,Globorotalia_theyeri,Tenuitella_iota,Turborotalita_humilis_._Berggrenia_pumilio,Globigerinita_uvula,unidentified,Count,Type,Sum
OD-041-04,,84.029,11.2383,-3344,North Atlantic,0.14,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.2,3.1,0,,,0,0,0,0,0,0,,0,0,NA,0,0.7,,,0,0,0,,1,100
OD-041-04,,84.029,11.2383,-3344,North Atlantic,0.15,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,99.1,0.7,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.1,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.3,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.6,2.4,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1533-3,,82.032,15.1908,-2026,North Atlantic,0.73,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,1.3,0,0,0,0,0.2,95.4,3,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS1533-3,,82.032,15.1908,-2026,North Atlantic,0.79,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,1.5,0,0,0,0,0,96.3,2.2,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.17,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.9,3,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.27,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.8,2.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0.6,,,0,0,0,,1,99.9
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.61,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.7,4.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.83,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.3,3.6,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,1.72,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.9,2.8,0,,,0,0,0,0,0,0.3,,0,0,NA,0,0,,,0,0,0,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,1.92,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,96.4,3.4,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,2.13,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.6,98,1.4,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,2.23,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.7,1.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
