Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),Sum
A015558,,8.98,51.73,3985,Indo-Pacific,0.58,,,2,2.8,,,Prell et al. (1980),TTB,01/01/03,2,0,0,18,,0,,1,0,1,0,40,2,0,12,0,1,3,66,55,0,3,19,0,0,7,,0,2,,20,12,32,0,36,,,,,,,,,
DSDP site 588,,-26.11,161.23,1533,Indo-Pacific,0.42,,,2,2,,,Nelson et al. (1993b); Martinez (1994),TTB,01/01/03,1.65,0.66,,27.15,,0,,,,1.99,0,14.57,6.62,,4.3,,,0,2.32,2.65,,,0,19.87,6.95,3.31,0.33,,0.66,,0.33,,0.33,,4.63,,,,,,,,,
DSDP site 591,,-31.58,164.45,2131,Indo-Pacific,0.4,,,2,1.9,,,Nelson et al. (1993b); Martinez (1994),TTB,01/01/03,1.59,0.64,,5.09,,0.64,,,,3.5,0,27.07,6.37,,,,,0.318474576,18.47152542,0.95,,,0,24.84,1.27,1.91,0.64,,0.32,,,,0,,6.05,,,,,,,,,
DSDP site 592,,-36.47,165.44,1088,Indo-Pacific,0.31,,,2,1.5,,,Nelson et al. (1993b); Martinez (1994),TTB,01/01/03,0.3,0.6,,0.6,,0,,,,0.3,0,26.43,0.9,,,,3,0.60057971,20.11942029,5.4,,,0,24.02,13.51,0.6,0,,0.9,,,,0,,2.4,,,,,,,,,
DSDP site 593,,-40.51,167.67,1068,Indo-Pacific,0.38,,,2,1.8,,,Nelson et al. (1993b); Martinez (1994),TTB,01/01/03,0,,,0,,0,,,,0,,29.5,0.25,,,,14.75,2,15.75,0.25,,0,,14.75,13.5,0,0,0,0,,,,0,,9,,0.5,,,,,,,
DSDP site 594,,-45.52,174.95,1204,Indo-Pacific,2.52,,,2,12.2,,,"Nelson et al. (1993a), Wells and Okada, (1998)",TTB,01/01/03,0,0,,0,,0,,0,0,0,0,3,0,0,0,0,4,495,15,0,0,0,0,12,0,0,,0,0,,0,0,0,0,5,,,,,10,,,,
E26-001,,-40.28,168.34,914,Indo-Pacific,0.61,,,2,3,,,"Hesse (1994), Barrows et al. (2000)",TTB,01/01/03,3,,,0,,0,,,,0,0,105,0,0,0,,37,0,44,2,,,,56,60,0,0,0,0,,,0,0,,11,,,,,,,,,
E27-030,,-45.07,147.23,3552,Indo-Pacific,0.6,,,2,2.9,,,Passlow et al. (1997),TTB,01/01/03,2,,,1,,,,,,0,,120,2,,0,,17,46,43,0,,,,45,12,,,0,2,,,,0,,26,,,,,0,,,,
E36-023,,-43.92,150.05,2533,Indo-Pacific,0.19,,,2,0.9,,,"Nees et al., (1994); Martinez, (1994)",TTB,01/01/03,0.32,,,0.32,,,,,,0,,55.91,0,,,,4.79,3.51,15.65,0.32,,,,8.63,1.351168,0,0,0,0.32,,,0,0,,8.94,,,,,,,,,
E45-027,,-43.23,105.58,3779,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,0,0,0,0,,0,,0,0,0,0,157,0,1,0,0,12,50,17,0,0,0,0,38,13,0,,0,1,,0,0,0,0,11,,,,,,,,,
