"row_findin","distance","Core","Coring.device","Lat","Long","Water.depth..m.","Ocean","Sample.depth...upper..m.","Sample.depth...lower..m.","calendar.age.estimate..cal.ky.BP.","Chronostratigraphic.quality..chronozone.level.","sedimentation.rate..cm.ky.","Laboratory","Instrument","Publication","added.by..name.","date.of.addition","Orbulina_universa","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Globigerinoides_tenellus","Trilobatus_sacculifer","Sphaeroidinella_dehiscens","Globigerinella_adamsi","Globigerinella_siphonifera","Globigerinella_calida","Globigerina_bulloides","Globigerina_falconensis","Beella_digitata","Globoturborotalita_rubescens","Turborotalita_humilis","Turborotalita_quinqueloba","Neogloboquadrina_pachyderma","Neogloboquadrina_incompta","Neogloboquadrina_dutertrei","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Pulleniatina_obliquiloculata","Globoconella_inflata","Globorotalia_truncatulinoides","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_scitula","Dentigloborotalia_anfracta","Globorotalia_menardii","Globorotalia_tumida","Globorotalia_menardii_._Globorotalia_tumida","Candeina_nitida","Globigerinita_glutinata","Globorotalia_theyeri","Tenuitella_iota","Turborotalita_humilis_._Berggrenia_pumilio","Globigerinita_uvula","unidentified","Count","Type","Sum"
773,857035.566701946,"E45-078","",-45.04,114.35,4031,"Indo-Pacific",0.31,NA,"",4,1.5,"",NA,"Prell et al. (1980)","TTB","01/01/03",1,0,0,0,0,NA,0,0,0,0,155,0,0,0,1,17,43,14,0,0,0,0,52,4,1,0,1,NA,0,0,NA,0,11,NA,NA,NA,NA,0,NA,NA,300
835,229828.927815669,"RC14-009","",-39.02,47.88,2692,"Indo-Pacific",0.7,NA,"",2,3.4,"",NA,"Prell et al. (1980)","TTB","01/01/03",1,0,0,3,0,NA,0,0,1,0,77,2,0,1,0,26,17,122,3,0,0,0,35,5,0,2,0,NA,0,0,NA,0,6,NA,NA,NA,NA,0,NA,NA,301
822,199384.697506059,"RC11-145","",-25.48,110.02,3911,"Indo-Pacific",0.29,NA,"",2,1.4,"",NA,"Wells and Wells (1994); Prell et al. (1980)","TTB","01/01/03",2,2,NA,56,1,NA,0,0,4,1,6,11,0,0,0,0,0,3,13,0,0,0,158,5,2,0,0,NA,1,0,NA,0,62,NA,NA,NA,NA,4,NA,NA,331
662,169484.149130221,"GeoB1417-1","",-20.3667,-12.7067,-2845,"South Atlantic",0.33,NA,"",NA,NA,"Bremen",NA,"Niebler et al. (in press)","M.W.","May-03",0.93,0.56,0.85,24.65,2.58,6.44,0,NA,2.74,0.44,18.49,1.53,0.16,5.48,0,0.32,0,5.96,1.01,0,0,0,8.5,6.32,1.77,0,2.58,0.64,0.08,0,NA,0.16,7.81,0,0,0,NA,0,696,1,99.36
874,463758.287784883,"V20-175","",-22.3,68,3526,"Indo-Pacific",0.3,NA,"",2,1.5,"",NA,"Prell et al. (1980)","TTB","01/01/03",4,5,0,121,12,NA,1,0,5,16,7,2,5,10,1,1,0,0,5,0,0,1,1,18,1,2,3,NA,2,0,NA,1,50,NA,NA,NA,NA,0,NA,NA,274
833,431210.135631339,"RC13-038","",-14.52,177.1,2867,"Indo-Pacific",0.4,NA,"",3,1.9,"",NA,"Barrows et al. (2000)","TTB","01/01/03",13,12,NA,200,14,NA,0,0,20,19,13,7,3,6,0,3,0,2,11,0,0,3,0,0,2,0,1,NA,1,5,NA,0,154,NA,NA,NA,0,0,NA,NA,489
888,260615.459025377,"V29-048","",-6.27,63.43,3882,"Indo-Pacific",0.2,NA,"",2,1,"",NA,"Prell et al. (1980)","TTB","01/01/03",3,11,0,60,2,NA,1,0,15,9,9,0,3,2,0,0,0,12,47,1,6,14,0,0,2,0,4,NA,39,4,NA,0,26,NA,NA,NA,NA,0,NA,NA,270
901,740792.206493414,"KH92-1-5a","Piston",3.53,141.86,2283,"Pacific, Eauripic-New Guinea Rise",0.222,NA,"20.3",NA,NA,"",NA,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.","Jun-03",0,0.5,NA,31,1.5,3.5,0,NA,18.5,0,5.5,1.5,0,0.5,NA,0,0,0,3.5,0,0,4.5,0,0,0,0,0,NA,NA,NA,3.5,0.5,25.5,NA,NA,NA,NA,0,100,1,100
452,384209.481489965,"V23-100","",21.3,-22.68,-4579,"North Atlantic",0.38,NA,"",NA,NA,"Kiel",NA,"Pflaumann et al. (in press)","M. W. ","20/05/07",3.1,0,0,7.4,0.5,3.3,0,NA,3.8,0.3,9.7,1.8,0,0,0.5,0.3,5.1,2,0,NA,NA,13.8,0.3,1.5,46.7,0,0,NA,0,0,NA,0,0,NA,NA,0.5,0,0,NA,1,100.6
1,1193422.85939837,"OD-041-04","",84.029,11.2383,-3344,"North Atlantic",0.14,NA,"",NA,NA,"Kiel",NA,"Pflaumann et al. (in press)","M. W. ","20/05/07",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,96.2,3.1,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0.7,NA,NA,0,0,0,NA,1,100
