"sample","Estimate","se","lci","uci","age","CqN","lat","long"
"A10",0.862650375717324,0.0631431219512244,0.738889856692924,0.986410894741724,"Historical vs. Holocene","2",-40.45,49.81667
"A10",0.880150061449699,0.0368124253722857,0.807997707720019,0.952302415179378,"Historical vs. Holocene","1",-40.45,49.81667
"A10",0.626875171923506,0.0842299197127447,0.461784529286527,0.791965814560486,"Historical vs. LGM","2",-40.45,49.81667
"A10",0.460596992839571,0.0736520436835391,0.316238987219834,0.604954998459307,"Holocene vs. LGM","2",-40.45,49.81667
"A10",0.7059,0.0854,0.538516,0.873284,"Historical vs. Holocene","0",-40.45,49.81667
"A10",0.800303239567453,0.0483196925168994,0.70559664223433,0.895009836900576,"Historical vs. LGM","1",-40.45,49.81667
"A10",0.624549508598143,0.048330220615029,0.529822276192686,0.7192767410036,"Holocene vs. LGM","1",-40.45,49.81667
"A10",0.8,0.0785,0.64614,0.95386,"Historical vs. LGM","0",-40.45,49.81667
"A10",0.6,0.0942,0.415368,0.784632,"Holocene vs. LGM","0",-40.45,49.81667
"A20",0.942232769860609,0.0358914565978546,0.871885514928814,1,"Historical vs. Holocene","2",-26.93667,111.18167
"A20",0.471476973293935,0.0777701043023003,0.319047568861426,0.623906377726444,"Historical vs. LGM","2",-26.93667,111.18167
"A20",0.899531371248614,0.0342580590804891,0.832385575450855,0.966677167046373,"Historical vs. Holocene","1",-26.93667,111.18167
"A20",0.698000205702401,0.0495945439322681,0.600794899595155,0.795205511809646,"Historical vs. LGM","1",-26.93667,111.18167
"A20",0.529447428071469,0.0811154635658645,0.370461119482375,0.688433736660564,"Holocene vs. LGM","2",-26.93667,111.18167
"A20",0.8,0.0598,0.682792,0.917208,"Historical vs. Holocene","0",-26.93667,111.18167
"A20",0.8485,0.0785,0.69464,1.00236,"Historical vs. LGM","0",-26.93667,111.18167
"A20",0.711976974377051,0.054390082532119,0.605372412614098,0.818581536140004,"Holocene vs. LGM","1",-26.93667,111.18167
"A20",0.8125,0.0765,0.66256,0.96244,"Holocene vs. LGM","0",-26.93667,111.18167
"A25",0.912568555131883,0.048454843600714,0.817597061674484,1,"Historical vs. Holocene","2",-21.25,-14.03333
"A25",0.895055933065181,0.0402075303427637,0.816249173593364,0.973862692536997,"Historical vs. Holocene","1",-21.25,-14.03333
"A25",0.815850254701385,0.0724914421522402,0.673767028082995,0.957933481319776,"Historical vs. LGM","2",-21.25,-14.03333
"A25",0.782209740965223,0.073419224609529,0.638308060730546,0.926111421199899,"Holocene vs. LGM","2",-21.25,-14.03333
"A25",0.8837,0.0611,0.763944,1.003456,"Historical vs. Holocene","0",-21.25,-14.03333
"A25",0.825200677135831,0.0433852003895608,0.740165684372292,0.91023566989937,"Historical vs. LGM","1",-21.25,-14.03333
"A25",0.810309814270683,0.0457044140020108,0.720729162826742,0.899890465714625,"Holocene vs. LGM","1",-21.25,-14.03333
"A25",0.8,0.0726,0.657704,0.942296,"Historical vs. LGM","0",-21.25,-14.03333
"A25",0.8636,0.0641,0.737964,0.989236,"Holocene vs. LGM","0",-21.25,-14.03333
"A27",0.921273670432746,0.0313411750835661,0.859844967268956,0.982702373596536,"Historical vs. Holocene","1",-19.56667,64.63333
"A27",0.983690623649579,0.0217262028345552,0.941107266093851,1,"Historical vs. Holocene","2",-19.56667,64.63333
"A27",0.7826,0.0838,0.618352,0.946848,"Historical vs. Holocene","0",-19.56667,64.63333
"A27",0.8511,0.0831,0.688224,1.013976,"Historical vs. LGM","0",-19.56667,64.63333
"A27",0.828501106957489,0.0413201957717561,0.747513523244847,0.909488690670131,"Historical vs. LGM","1",-19.56667,64.63333
"A27",0.908658634188688,0.0385906124045695,0.833021033875732,0.984296234501645,"Historical vs. LGM","2",-19.56667,64.63333
"A27",0.931626672765176,0.0419754851053546,0.849354721958681,1,"Holocene vs. LGM","2",-19.56667,64.63333
"A27",0.7556,0.0726,0.613304,0.897896,"Holocene vs. LGM","0",-19.56667,64.63333
"A27",0.860315168198806,0.0347488282813682,0.792207464767325,0.928422871630288,"Holocene vs. LGM","1",-19.56667,64.63333
"A31",0.983833086434272,0.0247907037041187,0.9352433071742,1,"Historical vs. Holocene","2",-15.65,-179.0625
"A31",0.952107964338588,0.0307228366538401,0.891891204497061,1,"Historical vs. LGM","2",-15.65,-179.0625
"A31",0.953874164406442,0.028009579118939,0.898975389333322,1,"Historical vs. Holocene","1",-15.65,-179.0625
