"sample","c22","Lat","Long"
1,1,84.029,11.2383
2,0.999894113865411,84.029,11.2383
6,1,82.032,15.1908
7,1,82.032,15.1908
8,1,81.759,-9.4355
9,1,81.759,-9.4355
10,0.999902782635189,81.759,-9.4355
11,1,81.759,-9.4355
12,1,81.535,30.5933
13,1,81.535,30.5933
14,1,81.535,30.5933
15,1,81.535,30.5933
16,1,81.367,17.4717
17,1,81.367,17.4717
18,0.991318000169757,81.233,2.3817
19,0.99195153034381,81.233,2.3817
20,0.991377741607324,81.233,2.3817
21,0.999859559379178,79.6,-4.6077
22,1,79.6,-4.6077
23,1,79.6,-4.6077
24,1,78.855,-4.7812
25,1,78.855,-4.7812
26,0.999399305264435,77.46,4.58
27,0.998149775321033,76,8.3333
28,0.998536936237354,76,8.3333
29,0.998539778594991,76,8.3333
30,0.998439923029978,76,8.3333
31,0.99832449036582,76,8.3333
32,1,75,-8.771
33,1,75,-8.771
34,1,75,-8.771
35,1,75,-8.771
36,0.999486497561201,74.997,-11.8267
37,0.999756770529859,74.997,-11.8267
38,1,74.177,-0.48
39,0.999484539717237,74.177,-0.48
40,1,72.38,-10.5923
41,0.712167043732028,72.225,14.4273
42,0.708885789846647,72.183,8.583
43,0.711021858672519,72.151,11.4343
44,0.711021858672519,72.151,11.4343
45,0.701790423600223,72.151,11.4343
46,0.701790423600223,72.151,11.4343
47,0.701790423600223,72.151,11.4343
48,0.701790423600223,72.151,11.4343
49,0.701790423600223,72.151,11.4343
50,0.708542533477734,72.151,11.4343
51,0.708542533477734,72.151,11.4343
52,0.708542533477734,72.151,11.4343
53,0.708542533477734,72.151,11.4343
54,0.708542533477734,72.151,11.4343
55,0.708653166116571,72.151,11.4343
56,0.708653166116571,72.151,11.4343
57,0.708653166116571,72.151,11.4343
58,0.707402409521587,72.151,11.4343
59,0.707402409521587,72.151,11.4343
60,0.707017766281437,72.151,11.4343
61,0.707017766281437,72.151,11.4343
62,0.707017766281437,72.151,11.4343
63,0.691177426436707,72.151,11.4343
64,0.704546825586387,72.151,11.4343
65,0.704546825586387,72.151,11.4343
66,0.704546825586387,72.151,11.4343
67,0.704546825586387,72.151,11.4343
68,0.691168509724129,72.151,11.4343
69,0.710419648975416,72.151,11.4343
70,0.710419648975416,72.151,11.4343
71,0.710419648975416,72.151,11.4343
72,0.691169775896501,72.151,11.4343
73,0.704104025881458,72.151,11.4343
74,0.704104025881458,72.151,11.4343
75,0.704104025881458,72.151,11.4343
76,0.697369724538539,72.151,11.4343
77,0.699073989434957,72.112,7.3883
78,0.702497717848935,72.112,7.3883
79,0.706917266626507,72.112,7.3883
80,0.706414770343239,72.112,7.3883
