"lgm_row","lgm_long","lgm_lat","row_findin","distance","Sample","Sample_ID","Flag","Device","Latitude","Longitude","Water_depth","Ocean","Sample_depth_top","Sample_depth_bottom","Sample_depth_average","Author","Journal","Year","Publication_doi","Resource_doi","Comment","Database","Type","Count_min","Count","Dentigloborotalia_anfracta","Globorotalia_cavernula","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_menardii","Globorotalia_scitula","Globorotalia_truncatulinoides","Globorotalia_tumida","Globorotalia_ungulata","Globorotalia_theyeri","Globoconella_inflata","Neogloboquadrina_dutertrei","Neogloboquadrina_incompta","Neogloboquadrina_pachyderma","Pulleniatina_obliquiloculata","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Berggrenia_pumilio","Globigerina_bulloides","Globigerina_falconensis","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Trilobatus_sacculifer","Globigerinoides_tenellus","Orbulina_universa","Beella_digitata","Globigerinella_siphonifera","Globigerinella_calida","Globigerinella_adamsi","Turborotalita_quinqueloba","Turborotalita_humilis","Globoturborotalita_rubescens","Sphaeroidinella_dehiscens","Candeina_nitida","Globigerinita_glutinata","Globigerinita_uvula","Globigerinita_minuta","Tenuitella_iota","Hastigerina_pelagica","Hastigerinella_digitata","Globorotalia_menardii_._Globorotalia_tumida","Globigerinoides_ruber_._Globigerinoides_white","Turborotalita_humilis_._Berggrenia_pumilio","unidentified","site","woa_tmn","woa_tsd","woa_dist"
1,11.2383,84.029,1977,22.2636961233202,"OD-41-4","ATL947_0540",1,"Multi",84.0292,11.2383,3344,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,671,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1977",NA,NA,52489.8801
2,11.2383,84.029,1977,22.2636961233202,"OD-41-4","ATL947_0540",1,"Multi",84.0292,11.2383,3344,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,671,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1977",NA,NA,52489.8801
3,40.9083,82.397,2008,307014.748683151,"PS1530-3","ATL947_0571",1,"Giant Box",83.4067,19.9717,4066,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2008",-1.863,0.04,11987.9076
4,40.9083,82.397,2008,307014.748683151,"PS1530-3","ATL947_0571",1,"Giant Box",83.4067,19.9717,4066,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2008",-1.863,0.04,11987.9076
5,40.9083,82.397,2008,307014.748683151,"PS1530-3","ATL947_0571",1,"Giant Box",83.4067,19.9717,4066,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2008",-1.863,0.04,11987.9076
6,15.1908,82.032,2010,78724.988056951,"PS1534-6","ATL947_0573",1,"Giant Box",81.325,15.3067,2270,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,410,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2010",-0.559,1.621,19744.0782
7,15.1908,82.032,2010,78724.988056951,"PS1534-6","ATL947_0573",1,"Giant Box",81.325,15.3067,2270,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,410,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2010",-0.559,1.621,19744.0782
8,-9.4355,81.759,2019,0,"PS2876-1","ATL947_0582",1,"Giant Box",81.759,-9.4355,1976,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A, coordinates corrected via depth control, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, T. quinqueloba subspecies set to N/A",12,0,NA,1043,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2019",-0.74,0.693,28850.6838
9,-9.4355,81.759,2019,0,"PS2876-1","ATL947_0582",1,"Giant Box",81.759,-9.4355,1976,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A, coordinates corrected via depth control, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, T. quinqueloba subspecies set to N/A",12,0,NA,1043,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2019",-0.74,0.693,28850.6838
10,-9.4355,81.759,2019,0,"PS2876-1","ATL947_0582",1,"Giant Box",81.759,-9.4355,1976,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A, coordinates corrected via depth control, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, T. quinqueloba subspecies set to N/A",12,0,NA,1043,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2019",-0.74,0.693,28850.6838
