"sample","Sample_Core_no","Latitude","Longitude","distance","age","woamn","woasd","woamn_dist_km","woasd_dist_km"
"A10","M.8780",-40.45,49.81667,0,"Historical",14.797,3.062,27387.0154954792,27387.0154954792
"A10","CLIMAP_0070",-43.63,51.267,373734.386562048,"Holocene",7.779,1.802,23720.0811169158,23720.0811169158
"A10","RC14-009",-39.02,47.88,229828.927815669,"LGM",17.289,1.913,62672.7763603506,62672.7763603506
"A20","M.5246",-26.93667,111.18167,0,"Historical",22.663,1.824,58006.9444362722,58006.9444362722
"A20","MARGO_2820",-26.96666667,111.3333333,15415.4023349409,"Holocene",22.663,1.824,54527.7343980114,54527.7343980114
"A20","RC11-145",-25.48,110.02,199384.697506059,"LGM",22.829,1.923,48283.5056588334,48283.5056588334
"A25","M.408",-21.25,-14.03333,0,"Historical",23.384,1.474,55809.8879749814,55809.8879749814
"A25","BUFD_0336",-24.06666667,-15.11666667,332708.360791805,"Holocene",23.608,2.195,61966.9809738477,61966.9809738477
"A25","GeoB1417-1",-20.3667,-12.7067,169484.149130221,"LGM",22.786,1.612,26174.5977221214,26174.5977221214
"A25","GeoB1417-1",-20.3667,-12.7067,169484.149130221,"LGM",22.786,1.612,26174.5977221214,26174.5977221214
"A27","M.3787",-19.56667,64.63333,0,"Historical",25.421,1.728,15834.9521382641,15834.9521382641
"A27","CLIMAP_0211",-20.58,63.533,161121.081756644,"Holocene",24.834,1.754,9546.86490653883,9546.86490653883
"A27","V20-175",-22.3,68,463758.287784883,"LGM",24.391,1.823,56069.6525411701,56069.6525411701
"A31","M.4080",-15.65,-179.0625,0,"Historical",27.886,1.092,49796.9303346087,49796.9303346087
"A31","MARGO_1184",-15.15,-176.49,281639.432203888,"Holocene",28.052,1.092,38976.6108692148,38976.6108692148
"A31","RC13-038",-14.52,177.1,431210.135631339,"LGM",28.372,0.95,43164.9839590182,43164.9839590182
"A44","M.7487",-7.59167,61.48333,0,"Historical",28.264,1.283,10369.1495123676,10369.1495123676
"A44","BUFD_1236",-6.266666667,63.43333333,261129.599505777,"Holocene",28.056,1.031,27001.3325191262,27001.3325191262
"A44","V29-048",-6.27,63.43,260615.459025377,"LGM",28.056,1.031,26748.9856785645,26748.9856785645
"A46","M.284",-0.7,147,0,"Historical",29.5565,0.547,59944.5205852655,59944.5205852655
"A46","BUFD_0402",1.266666667,149.2,328480.865316024,"Holocene",29.404,0.473,42300.2152339453,42300.2152339453
"A46","KH92-1-5a",3.53,141.86,740792.206493414,"LGM",29.164,0.611,40138.7956488091,40138.7956488091
"A5","M.192",-50.01667,123.06667,0,"Historical",6.573,0.972,62015.6677886646,62015.6677886646
"A5","CLIMAP_0078",-47.77,123.1,250110.04895283,"Holocene",9.321,0.79,42469.703513927,42469.703513927
"A5","E45-078",-45.04,114.35,857035.566701946,"LGM",9.835,0.907,52538.0502897534,52538.0502897534
"A55","M.25",24.33333,-24.46667,0,"Historical",22.981,1.566,18858.7027557702,18858.7027557702
"A55","ATL947_0944",22.697,-25.33,202350.301301972,"Holocene",23.161,1.572,28038.6953029736,28038.6953029736
"A55","V23-100",21.3,-22.68,384209.481489965,"LGM",22.939,1.763,29047.0030472937,29047.0030472937
