sample,new_sample_no,Lat,Long,Vessel,Date,Museum_no,OBD_IRN,Sea_Depth,cm_MIN,cm_MAX,Count,Globigerina_bulloides,Globigerina_falconensis,Globoturborotalita_rubescens,Globigerinoides_tenellus,Globorotalia_menardii,Globorotalia_tumida,Globoconella_inflata,Globorotalia_crassaformis,Globorotalia_truncatulinoides,Globorotalia_hirsuta,Globorotalia_scitula,Globorotalia_ungulata,Globorotaloides_hexagonus,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Globigerinella_siphonifera,Globigerinella_calida,Globigerinoides_white,Globigerinoides_ruber,Globigerinoides_conglobatus,Trilobatus_sacculifer,Orbulina_universa,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globigerinita_glutinata,Candeina_nitida,Beella_digitata,Turborotalita_quinqueloba,Turborotalita_humilis,Sphaeroidinella_dehiscens,Hastigerina_pelagica,Berggrenia_pumilio,Globorotalia_theyeri
A5,5,-50.01667,123.06667,HMS Challenger,07/03/1874,M.192,32657,-3976,NA,NA,318,175,0,0,0,0,0,96,0,14,0,0,0,0,0,8,19,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A10,9,-40.45,49.81667,HMS Waterwitch,22/01/1895,M.8780,38482,-3780,NA,NA,177,38,4,0,0,0,0,58,0,10,0,0,0,0,0,17,38,0,1,3,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0
A20,18,-26.93667,111.18167,HMS Penguin,16/04/1891,M.5246,36053,-3350,NA,NA,279,13,11,0,0,37,0,10,2,6,0,0,3,0,34,4,0,5,6,73,0,1,17,1,2,2,52,0,0,0,0,0,0,0,0
A25,23,-21.25,-14.03333,HMS Challenger,21/03/1876,M.408,34991,-3740,NA,NA,265,4,17,3,20,0,2,31,2,12,1,2,2,0,1,1,0,4,8,84,11,3,30,6,3,0,18,0,0,0,0,0,0,0,0
A27,25,-19.56667,64.63333,HMS Egeria,31/10/1887,M.3787,34671,-2708,NA,NA,376,2,2,2,9,1,0,2,1,3,0,1,2,1,11,0,0,29,11,196,0,12,52,3,7,1,24,1,2,0,0,1,0,0,0
A31,29,-15.65,-179.0625,HMS Egeria,26/08/1889,M.4080,34993,-2519,NA,NA,300,3,6,4,19,0,0,0,0,0,0,0,0,0,4,0,0,10,15,131,0,8,32,4,0,0,63,0,1,0,0,0,0,0,0
A44,42,-7.59167,61.48333,HMS Sealark,09/11/05,M.7487,37148,-3507,NA,NA,305,8,0,4,0,30,15,0,0,1,0,5,4,0,21,33,0,16,0,53,0,6,13,0,16,0,77,0,0,0,1,1,0,0,1
A46,44,-0.7,147,HMS Challenger,11/03/1875,M.284,33668,-2213,NA,NA,331,28,12,4,6,1,2,0,0,0,0,0,0,0,9,10,0,14,12,115,0,2,28,0,22,1,65,0,0,0,0,0,0,0,0
A55,53,24.33333,-24.46667,HMS Challenger,21/02/1873,M.25,33286,-5153,NA,NA,260,6,0,0,0,23,7,35,5,10,0,0,0,0,7,33,0,2,3,68,0,2,46,1,5,0,2,0,0,0,3,2,0,0,0
A66,64,85.25,-167.9,Alpha 6 station,08/09/57,"1,959,638",14609,-1774,NA,NA,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
