Museum no,M.192,M.8780,M.5246,M.408,M.3787,M.4080,M.7487,M.284,M.25
OBD IRN,32657,38482,36053,34991,34671,34993,37148,33668,33286
Latitude,-50.02,-40.45,-26.94,-21.25,-19.57,-15.65,-7.59,-0.7,24.33
Longitude,123.07,49.82,111.18,-14.03,64.63,-179.06,61.48,147,-24.47
Species,,,,,,,,,
Beella digitata,0,0,0,0,2,1,0,0,0
Berggrenia pumilio,0,0,0,0,0,0,0,0,0
Candeina nitida,0,0,0,0,1,0,0,0,0
Globigerina bulloides,175,38,13,4,2,3,8,28,6
Globigerina falconensis,0,4,11,17,2,6,0,12,0
Globigerinella calida,1,1,6,8,11,15,0,12,3
Globigerinella siphonifera,0,0,5,4,29,10,16,14,2
Globigerinita glutinata,5,5,52,18,24,63,77,65,2
Globigerinoides conglobatus,0,0,1,3,12,8,6,2,2
Globigerinoides ruber,0,0,0,11,0,0,0,0,0
Globigerinoides tenellus,0,0,0,20,9,19,0,6,0
Globigerinoides white,0,3,73,84,196,131,53,115,68
Globoconella inflata,96,58,10,31,2,0,0,0,35
Globoquadrina conglomerata,0,0,2,0,1,0,0,1,0
Globorotalia crassaformis,0,0,2,2,1,0,0,0,5
Globorotalia hirsuta,0,0,0,1,0,0,0,0,0
Globorotalia menardii,0,0,37,0,1,0,30,1,23
Globorotalia scitula,0,0,0,2,1,0,5,0,0
Globorotalia theyeri,0,0,0,0,0,0,1,0,0
Globorotalia truncatulinoides,14,10,6,12,3,0,1,0,10
Globorotalia tumida,0,0,0,2,0,0,15,2,7
Globorotalia ungulata,0,0,3,2,2,0,4,0,0
Globorotaloides hexagonus,0,0,0,0,1,0,0,0,0
Globoturborotalita rubescens,0,0,0,3,2,4,4,4,0
Hastigerina pelagica,0,0,0,0,0,0,0,0,0
Neogloboquadrina dutertrei,0,0,34,1,11,4,21,9,7
Neogloboquadrina incompta,8,17,4,1,0,0,33,10,33
Neogloboquadrina pachyderma,19,38,0,0,0,0,0,0,0
Orbulina universa,0,1,1,6,3,4,0,0,1
Pulleniatina obliquiloculata,0,0,2,3,7,0,16,22,5
Sphaeroidinella dehiscens,0,0,0,0,1,0,1,0,2
Trilobatus sacculifer,0,0,17,30,52,32,13,28,46
Turborotalita humilis,0,0,0,0,0,0,1,0,3
Turborotalita quinqueloba,0,2,0,0,0,0,0,0,0
Total count,318,177,279,265,376,300,305,331,260
