Sample,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM
Sample/core number,M.192,CLIMAP_0078,E45-078,M.8780,CLIMAP_0070,RC14-009,M.5246,MARGO_2820,RC11-145,M.408,BUFD_0336,GeoB1417-1,M.3787,CLIMAP_0211,V20-175,M.4080,MARGO_1184,RC13-038,M.7487,BUFD_1236,V29-048,M.284,BUFD_0402,KH92-1-5a,M.25,ATL947_0944,V23-100
Latitude,-50.01667,-47.77,-45.04,-40.45,-43.63,-39.02,-26.93667,-26.97,-25.48,-21.25,-24.07,-20.37,-19.56667,-20.58,-22.3,-15.65,-15.15,-14.52,-7.59167,-6.27,-6.27,-0.7,1.27,3.53,24.33333,22.7,21.3
Longitude,123.06667,123.1,114.35,49.81667,51.27,47.88,111.18167,111.33,110.02,-14.03333,-15.12,-12.71,64.63333,63.53,68,-179.0625,-176.49,177.1,61.48333,63.43,63.43,147,149.2,141.86,-24.46667,-25.33,-22.68
Distance (km),0,250.11,857.04,0,373.73,229.83,0,15.42,199.38,0,332.71,169.48,0,161.12,463.76,0,281.64,431.21,0,261.13,260.62,0,328.48,740.79,0,202.35,384.21
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beella digitata,0,0,0,0,0,0,0,0,0,0,2.08,0.38,0.53,0,1.82,0.33,0.1,0.61,0,0.26,1.11,0,0.11,0,0,0.5,0
Berggrenia pumilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candeina nitida,0,0,0,0,0,0,0,0,0,0,0,0.19,0.27,0.27,0.36,0,0,0,0,0,0,0,0.22,0.5,0,0,0
Dentigloborotalia anfracta,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globigerina bulloides,55.03,60.71,51.67,21.47,31.61,25.58,4.66,8.85,1.81,1.51,1.33,17.75,0.53,2.73,2.55,1,0.5,2.66,2.62,5.03,3.33,8.46,4.2,5.5,2.31,2.3,9.64
Globigerina falconensis,0,0,0,2.26,0,0.66,3.94,0.66,3.32,6.42,3.6,2.02,0.53,2.19,0.73,2,0.7,1.43,0,0,0,3.63,0.82,1.5,0,0,1.79
Globigerinella adamsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Globigerinella calida,0.31,0,0,0.56,0,0,2.15,0,0.3,3.02,2.84,0.78,2.93,1.91,5.84,5,4.73,3.89,0,1.32,3.33,3.63,2.78,0,1.15,0.2,0.3
Globigerinella siphonifera,0,0,0,0,0,0.33,1.79,5.53,1.21,1.51,5.3,2.48,7.71,2.46,1.82,3.33,4.53,4.09,5.25,4.76,5.56,4.23,5.94,18.5,0.77,2.9,3.78
Globigerinita glutinata,1.57,1.53,3.67,2.82,2.07,1.99,18.64,19.25,18.73,6.79,12.88,8.62,6.38,9.29,18.25,21,19.32,31.49,25.25,6.61,9.63,19.64,17.18,25.5,0.77,2.9,0
Globigerinita minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globigerinita uvula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globigerinoides conglobatus,0,0,0,0,0,0,0.36,0.33,0.6,1.13,0.76,0.89,3.19,0.55,1.82,2.67,5.03,2.45,1.97,3.44,4.07,0.6,1.42,0.5,0.77,1.8,0
Globigerinoides ruber pink,0,0,0,0,0,0,0,0,0,4.15,1.33,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Globigerinoides ruber white,0,0,0,1.69,0,1,26.16,28.1,16.92,31.7,40.15,24.42,52.13,56.56,44.16,43.67,38.23,40.9,17.38,24.07,22.22,34.74,28.57,31,26.15,15.18,7.36
Globigerinoides tenellus,0,0,0,0,0,0,0,5.2,0.3,7.55,4.55,2.5,2.39,0.55,4.38,6.33,4.02,2.86,0,0.26,0.74,1.81,1.42,1.5,0,0.2,0.5
Globoconella inflata,30.19,20.66,17.33,32.77,22.8,11.63,3.58,6.19,47.73,11.7,2.08,10.2,0.53,0.82,0.36,0,0,0,0,0,0,0,0,0,13.46,16.28,0.3
Globoquadrina conglomerata,0,0,0,0,0,0,0.72,0,0,0,0,0,0.27,0,0,0,0,0,0,4.76,0.37,0.3,0.87,0,0,0,0
Globorotalia crassaformis,0,0,0.33,0,0,0,0.72,0,0.6,0.75,0.38,1.82,0.27,0,0.36,0,0,0.41,0,0,0.74,0,0.44,0,1.92,1.8,46.42
Globorotalia hirsuta,0,0,0,0,0,0.66,0,1,0,0.38,0.57,0,0,0,0.73,0,0,0,0,0,0,0,0.11,0,0,0,0
Globorotalia menardii,0,0,0,0,0,0,13.26,9.85,0.3,0,2.65,0.04,0.27,0.82,0.73,0,0,0.2,9.84,14.02,14.44,0.3,2.24,1.75,8.85,13.59,0
Globorotalia scitula,0,0,0.33,0,0,0,0,0,0,0.75,1.7,1.81,0.27,1.37,1.09,0,0,0.2,1.64,0.79,1.48,0,0.22,0,0,0.2,0
Globorotalia theyeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0
Globorotalia truncatulinoides,4.4,6.12,1.33,5.65,0.52,1.66,2.15,1.66,1.51,4.53,5.49,6.34,0.8,1.37,6.57,0,0.2,0,0.33,0,0,0,0.49,0,3.85,7.89,1.49
Globorotalia tumida,0,0,0,0,0,0,0,0,0,0.75,0.38,0.02,0,0.82,0,0,0,1.02,4.92,1.85,1.48,0.6,1.58,1.75,2.69,4.3,0
Globorotalia ungulata,0,0,0,0,0,0,1.08,0,0,0.75,0,0,0.53,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
Globorotaloides hexagonus,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.3,0,0,3.44,2.22,0,0.11,0,0,0,0
Globoturborotalita rubescens,0,0,0,0,0,0.33,0,0.33,0,1.13,2.08,4.73,0.53,1.64,3.65,1.33,3.82,1.23,1.31,0,0.74,1.21,2.29,0.5,0,0,0
Neogloboquadrina dutertrei,0,0,0,0,0,1,12.19,3.87,3.93,0.38,0.19,0.89,2.93,2.73,1.82,1.33,0.1,2.25,6.89,7.94,17.41,2.72,4.74,3.5,2.69,5.69,0
Neogloboquadrina incompta,2.52,3.32,4.67,9.6,0.78,40.53,1.43,1,0.91,0.38,0,3.97,0,0.82,0,0,0,0.41,10.82,0.26,4.44,3.02,0.27,0,12.69,4.8,1.99
Neogloboquadrina pachyderma,5.97,6.63,14.33,21.47,42.23,5.65,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.05,0,0,0,5.07
Orbulina universa,0,0.51,0.33,0.56,0,0.33,0.36,0.66,0.6,2.26,3.22,0.96,0.8,2.73,1.46,1.33,2.41,2.66,0,0.26,1.11,0,0.11,0,0.38,0.2,3.08
Pulleniatina obliquiloculata,0,0,0,0,0,0,0.72,1.66,0,1.13,0,0,1.86,0,0.36,0,0,0.61,5.25,3.17,5.19,6.65,12.21,4.5,1.92,0.7,13.72
Sphaeroidinella dehiscens,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0.36,0,0,0,0.33,0.79,0.37,0,0.22,0,0.77,0.9,0
Tenuitella iota,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trilobatus sacculifer,0,0,0,0,0,0,6.09,5.86,0,11.32,5.3,7.33,13.83,9.56,0,10.67,11.37,0,4.26,15.87,0,8.46,10.69,3.5,17.69,17.18,3.28
Turborotalita humilis,0,0,0.33,0,0,0,0,0,0,0,0,0.35,0,0,0.36,0,0.2,0,0.33,0,0,0,0,0,1.15,0,0.99
Turborotalita quinqueloba,0,0,5.67,1.13,0,8.64,0,0,0,0,0,0.16,0,0,0.36,0,4.33,0.61,0,0,0,0,0,0,0,0,0.3
