Sample,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM
Sample/core number,M.7487,BUFD_1236,V29-048,M.284,BUFD_0402,KH92-1-5a,M.25,ATL947_0944,V23-100
Latitude,-7.59,-6.27,-6.27,-0.70,1.27,3.53,24.33,22.70,21.30
Longitude,61.48,63.43,63.43,147.00,149.20,141.86,-24.47,-25.33,-22.68
Distance (km),0.00,261.13,260.62,0.00,328.48,740.79,0.00,202.35,384.21
Species,,,,,,,,,
Beella digitata,0.00,0.26,1.11,0.00,0.11,0.00,0.00,0.50,0.00
Berggrenia pumilio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Candeina nitida,0.00,0.00,0.00,0.00,0.22,0.50,0.00,0.00,0.00
Dentigloborotalia anfracta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerina bulloides,2.62,5.03,3.33,8.46,4.20,5.50,2.31,2.30,9.64
Globigerina falconensis,0.00,0.00,0.00,3.63,0.82,1.50,0.00,0.00,1.79
Globigerinella adamsi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinella calida,0.00,1.32,3.33,3.63,2.78,0.00,1.15,0.20,0.30
Globigerinella siphonifera,5.25,4.76,5.56,4.23,5.94,18.50,0.77,2.90,3.78
Globigerinita glutinata,25.25,6.61,9.63,19.64,17.18,25.50,0.77,2.90,0.00
Globigerinita minuta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinita uvula,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinoides conglobatus,1.97,3.44,4.07,0.60,1.42,0.50,0.77,1.80,0.00
Globigerinoides ruber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
Globigerinoides tenellus,0.00,0.26,0.74,1.81,1.42,1.50,0.00,0.20,0.50
Globigerinoides white,17.38,24.07,22.22,34.74,28.57,31.00,26.15,15.18,7.36
Globoconella inflata,0.00,0.00,0.00,0.00,0.00,0.00,13.46,16.28,0.30
Globoquadrina conglomerata,0.00,4.76,0.37,0.30,0.87,0.00,0.00,0.00,0.00
Globorotalia crassaformis,0.00,0.00,0.74,0.00,0.44,0.00,1.92,1.80,46.42
Globorotalia hirsuta,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00
Globorotalia menardii,9.84,14.02,14.44,0.30,2.24,1.75,8.85,13.59,0.00
Globorotalia scitula,1.64,0.79,1.48,0.00,0.22,0.00,0.00,0.20,0.00
Globorotalia theyeri,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia truncatulinoides,0.33,0.00,0.00,0.00,0.49,0.00,3.85,7.89,1.49
Globorotalia tumida,4.92,1.85,1.48,0.60,1.58,1.75,2.69,4.30,0.00
Globorotalia ungulata,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotaloides hexagonus,0.00,3.44,2.22,0.00,0.11,0.00,0.00,0.00,0.00
Globoturborotalita rubescens,1.31,0.00,0.74,1.21,2.29,0.50,0.00,0.00,0.00
Neogloboquadrina dutertrei,6.89,7.94,17.41,2.72,4.74,3.50,2.69,5.69,0.00
Neogloboquadrina incompta,10.82,0.26,4.44,3.02,0.27,0.00,12.69,4.80,1.99
Neogloboquadrina pachyderma,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,5.07
Orbulina universa,0.00,0.26,1.11,0.00,0.11,0.00,0.38,0.20,3.08
Pulleniatina obliquiloculata,5.25,3.17,5.19,6.65,12.21,4.50,1.92,0.70,13.72
Sphaeroidinella dehiscens,0.33,0.79,0.37,0.00,0.22,0.00,0.77,0.90,0.00
Tenuitella iota,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trilobatus sacculifer,4.26,15.87,0.00,8.46,10.69,3.50,17.69,17.18,3.28
Turborotalita humilis,0.33,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.99
Turborotalita quinqueloba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
