"sample","Estimate","se","lci","uci","comparison","index","lat","long"
"A10",0.6,0.1467,0.312468,0.887532,"Holocene and LGM","c0212",-40.45,49.81667
"A10",0.624549508598143,0.0613137581185436,0.504374542685798,0.744724474510489,"Holocene and LGM","c1212",-40.45,49.81667
"A10",0.472115355361576,0.0745451804509047,0.326006801677803,0.61822390904535,"Holocene and LGM","c2212",-40.45,49.81667
"A10",0.8704,0.2456,0.389024,1.351776,"Holocene and LGM","chao_jaccard12",-40.45,49.81667
"A10",0.9307,0.172,0.59358,1.26782,"Holocene and LGM","chao_sorensen12",-40.45,49.81667
"A10",0.880150061449699,0.0392787224596129,0.803163765428857,0.95713635747054,"Historical and Holocene","c121",-40.45,49.81667
"A10",0.886590962808276,0.0678529140970778,0.753599251178003,1,"Historical and Holocene","c221",-40.45,49.81667
"A10",0.9379,0.079,0.78306,1.09274,"Historical and Holocene","chao_jaccard1",-40.45,49.81667
"A10",0.9679,0.0451,0.879504,1.056296,"Historical and Holocene","chao_sorensen1",-40.45,49.81667
"A10",0.8,0.1344,0.536576,1.063424,"Historical and LGM","c0211",-40.45,49.81667
"A10",0.800303239567453,0.052211681509757,0.697968343808329,0.902638135326577,"Historical and LGM","c1211",-40.45,49.81667
"A10",0.64827189856677,0.0814231024596771,0.488682617745803,0.807861179387737,"Historical and LGM","c2211",-40.45,49.81667
"A10",0.9714,0.0596,0.854584,1.088216,"Historical and LGM","chao_jaccard11",-40.45,49.81667
"A10",0.9855,0.0326,0.921604,1.049396,"Historical and LGM","chao_sorensen11",-40.45,49.81667
"A10",0.7059,0.1323,0.446592,0.965208,"Historical and Holocene","c021",-40.45,49.81667
"A20",0.8485,0.152,0.55058,1.14642,"Historical and LGM","c0221",-26.93667,111.18167
"A20",0.698000205702401,0.0600376465960182,0.580326418374205,0.815673993030597,"Historical and LGM","c1221",-26.93667,111.18167
"A20",0.488646252710287,0.0801881738000416,0.331477432062205,0.645815073358368,"Historical and LGM","c2221",-26.93667,111.18167
"A20",0.8125,0.1553,0.508112,1.116888,"Holocene and LGM","c0222",-26.93667,111.18167
"A20",0.711976974377051,0.0603030831866342,0.593782931331248,0.830171017422854,"Holocene and LGM","c1222",-26.93667,111.18167
"A20",0.548567768342234,0.0862160821877733,0.379584247254198,0.71755128943027,"Holocene and LGM","c2222",-26.93667,111.18167
"A20",0.9039,0.1206,0.667524,1.140276,"Holocene and LGM","chao_jaccard22",-26.93667,111.18167
"A20",0.9495,0.0751,0.802304,1.096696,"Holocene and LGM","chao_sorensen22",-26.93667,111.18167
"A20",0.8,0.1239,0.557156,1.042844,"Historical and Holocene","c022",-26.93667,111.18167
"A20",0.899531371248613,0.0337652672741804,0.83335144739122,0.965711295106007,"Historical and Holocene","c122",-26.93667,111.18167
"A20",1,0.0419835101348442,0.917712320135705,1,"Historical and Holocene","c222",-26.93667,111.18167
"A20",0.8939,0.0597,0.776888,1.010912,"Historical and Holocene","chao_jaccard2",-26.93667,111.18167
"A20",0.944,0.0338,0.877752,1.010248,"Historical and Holocene","chao_sorensen2",-26.93667,111.18167
"A20",0.9114,0.1259,0.664636,1.158164,"Historical and LGM","chao_jaccard21",-26.93667,111.18167
"A20",0.9537,0.0819,0.793176,1.114224,"Historical and LGM","chao_sorensen21",-26.93667,111.18167
"A25",0.8837,0.1734,0.543836,1.223564,"Historical and Holocene","c023",-21.25,-14.03333
"A25",0.89505593306518,0.0382603141192746,0.820065717391402,0.970046148738959,"Historical and Holocene","c123",-21.25,-14.03333
"A25",0.8,0.1666,0.473464,1.126536,"Historical and LGM","c0231",-21.25,-14.03333
"A25",0.825200677135831,0.0494469075517786,0.728284738334345,0.922116615937317,"Historical and LGM","c1231",-21.25,-14.03333
"A25",0.871369639420866,0.0647302041616853,0.744498439263963,0.998240839577769,"Historical and LGM","c2231",-21.25,-14.03333
"A25",0.957,0.1126,0.736304,1.177696,"Historical and LGM","chao_jaccard31",-21.25,-14.03333
"A25",0.8636,0.1389,0.591356,1.135844,"Holocene and LGM","c0232",-21.25,-14.03333
"A25",0.810309814270683,0.0488914623390694,0.714482548086107,0.906137080455259,"Holocene and LGM","c1232",-21.25,-14.03333
"A25",0.825438945382309,0.084467801541059,0.659882054361833,0.990995836402785,"Holocene and LGM","c2232",-21.25,-14.03333
"A25",0.9209,0.118,0.68962,1.15218,"Holocene and LGM","chao_jaccard32",-21.25,-14.03333
"A25",0.9588,0.0731,0.815524,1.102076,"Holocene and LGM","chao_sorensen32",-21.25,-14.03333
"A25",0.9646,0.0377,0.890708,1.038492,"Historical and Holocene","chao_sorensen3",-21.25,-14.03333
"A25",0.959036443320799,0.0503567830100456,0.860337148621109,1,"Historical and Holocene","c223",-21.25,-14.03333
"A25",0.9316,0.0666,0.801064,1.062136,"Historical and Holocene","chao_jaccard3",-21.25,-14.03333
"A25",0.978,0.0686,0.843544,1.112456,"Historical and LGM","chao_sorensen31",-21.25,-14.03333
