"sample","Estimate","se","lci","uci","comparison","index","lat","long"
"A10",0.6,0.1449,0.315996,0.884004,"LGM and Holocene","c0212",-40.45,49.81667
"A10",0.624549508598143,0.0612500850773803,0.504499341846478,0.744599675349809,"LGM and Holocene","c1212",-40.45,49.81667
"A10",0.472115355361576,0.0797362149121562,0.31583237413375,0.628398336589402,"LGM and Holocene","c2212",-40.45,49.81667
"A10",0.8704,0.2593,0.362172,1.378628,"LGM and Holocene","chao_jaccard12",-40.45,49.81667
"A10",0.9307,0.1839,0.570256,1.291144,"LGM and Holocene","chao_sorensen12",-40.45,49.81667
"A10",0.880150061449699,0.0400975364201429,0.801558890066219,0.958741232833179,"Historical and Holocene","c121",-40.45,49.81667
"A10",0.886590962808276,0.0612879872052062,0.766466507886071,1,"Historical and Holocene","c221",-40.45,49.81667
"A10",0.9379,0.0802,0.780708,1.095092,"Historical and Holocene","chao_jaccard1",-40.45,49.81667
"A10",0.9679,0.0454,0.878916,1.056884,"Historical and Holocene","chao_sorensen1",-40.45,49.81667
"A10",0.8,0.1343,0.536772,1.063228,"Historical and LGM","c0211",-40.45,49.81667
"A10",0.800303239567453,0.0462807783817379,0.709592913939247,0.891013565195659,"Historical and LGM","c1211",-40.45,49.81667
"A10",0.64827189856677,0.0834849406713106,0.484641414851002,0.811902382282539,"Historical and LGM","c2211",-40.45,49.81667
"A10",0.9714,0.0559,0.861836,1.080964,"Historical and LGM","chao_jaccard11",-40.45,49.81667
"A10",0.9855,0.0306,0.925524,1.045476,"Historical and LGM","chao_sorensen11",-40.45,49.81667
"A10",0.7059,0.1273,0.456392,0.955408,"Historical and Holocene","c021",-40.45,49.81667
"A20",0.8485,0.1506,0.553324,1.143676,"Historical and LGM","c0221",-26.93667,111.18167
"A20",0.698000205702401,0.0632237568743121,0.574081642228749,0.821918769176053,"Historical and LGM","c1221",-26.93667,111.18167
"A20",0.488646252710287,0.0891219057963881,0.313967317349366,0.663325188071207,"Historical and LGM","c2221",-26.93667,111.18167
"A20",0.8125,0.1393,0.539472,1.085528,"LGM and Holocene","c0222",-26.93667,111.18167
"A20",0.711976974377051,0.0629540142844974,0.588587106379436,0.835366842374666,"LGM and Holocene","c1222",-26.93667,111.18167
"A20",0.548567768342234,0.089764138112942,0.372630057640868,0.7245054790436,"LGM and Holocene","c2222",-26.93667,111.18167
"A20",0.9039,0.1137,0.681048,1.126752,"LGM and Holocene","chao_jaccard22",-26.93667,111.18167
"A20",0.9495,0.0705,0.81132,1.08768,"LGM and Holocene","chao_sorensen22",-26.93667,111.18167
"A20",0.8,0.1136,0.577344,1.022656,"Historical and Holocene","c022",-26.93667,111.18167
"A20",0.899531371248613,0.0323264682611656,0.836171493456729,0.962891249040498,"Historical and Holocene","c122",-26.93667,111.18167
"A20",1,0.0471882986860053,0.90751093457543,1,"Historical and Holocene","c222",-26.93667,111.18167
"A20",0.8939,0.0607,0.774928,1.012872,"Historical and Holocene","chao_jaccard2",-26.93667,111.18167
"A20",0.944,0.0343,0.876772,1.011228,"Historical and Holocene","chao_sorensen2",-26.93667,111.18167
"A20",0.9114,0.1256,0.665224,1.157576,"Historical and LGM","chao_jaccard21",-26.93667,111.18167
"A20",0.9537,0.0804,0.796116,1.111284,"Historical and LGM","chao_sorensen21",-26.93667,111.18167
"A25",0.8837,0.138,0.61322,1.15418,"Historical and Holocene","c023",-21.25,-14.03333
"A25",0.89505593306518,0.0401454576701814,0.816370836031625,0.973741030098736,"Historical and Holocene","c123",-21.25,-14.03333
"A25",0.8,0.1401,0.525404,1.074596,"Historical and LGM","c0231",-21.25,-14.03333
"A25",0.825200677135831,0.0494847984504558,0.728210472172938,0.922190882098725,"Historical and LGM","c1231",-21.25,-14.03333
"A25",0.871369639420866,0.0737421210809262,0.726835082102251,1,"Historical and LGM","c2231",-21.25,-14.03333
"A25",0.957,0.11,0.7414,1.1726,"Historical and LGM","chao_jaccard31",-21.25,-14.03333
"A25",0.8636,0.1532,0.563328,1.163872,"LGM and Holocene","c0232",-21.25,-14.03333
"A25",0.810309814270683,0.050357483030629,0.71160914753065,0.909010481010716,"LGM and Holocene","c1232",-21.25,-14.03333
"A25",0.825438945382309,0.0855183163980793,0.657823045242074,0.993054845522544,"LGM and Holocene","c2232",-21.25,-14.03333
"A25",0.9209,0.118,0.68962,1.15218,"LGM and Holocene","chao_jaccard32",-21.25,-14.03333
"A25",0.9588,0.0734,0.814936,1.102664,"LGM and Holocene","chao_sorensen32",-21.25,-14.03333
"A25",0.9646,0.043,0.88032,1.04888,"Historical and Holocene","chao_sorensen3",-21.25,-14.03333
"A25",0.959036443320799,0.0560235465253915,0.849230292131031,1,"Historical and Holocene","c223",-21.25,-14.03333
"A25",0.9316,0.0747,0.785188,1.078012,"Historical and Holocene","chao_jaccard3",-21.25,-14.03333
"A25",0.978,0.0663,0.848052,1.107948,"Historical and LGM","chao_sorensen31",-21.25,-14.03333
"A27",0.861503628927533,0.0495218585772189,0.764440786116184,0.958566471738882,"LGM and Holocene","c1242",-19.56667,64.63333
"A27",0.8,0.2061,0.396044,1.203956,"Historical and Holocene","c024",-19.56667,64.63333
"A27",0.922529123392954,0.0356051848556011,0.852742961075976,0.992315285709932,"Historical and Holocene","c124",-19.56667,64.63333
"A27",1,0.0200837720347478,0.960635806811894,1,"Historical and Holocene","c224",-19.56667,64.63333
"A27",0.7727,0.183,0.41402,1.13138,"LGM and Holocene","c0242",-19.56667,64.63333
"A27",0.8511,0.191,0.47674,1.22546,"Historical and LGM","c0241",-19.56667,64.63333
"A27",0.828501106957489,0.0520295434660546,0.726523201764022,0.930479012150956,"Historical and LGM","c1241",-19.56667,64.63333
"A27",0.933728481183314,0.0386754789902628,0.857924542362399,1,"Historical and LGM","c2241",-19.56667,64.63333
"A27",0.8405,0.1037,0.637248,1.043752,"Historical and LGM","chao_jaccard41",-19.56667,64.63333
"A27",0.9133,0.0633,0.789232,1.037368,"Historical and LGM","chao_sorensen41",-19.56667,64.63333
"A27",0.9717,0.0431,0.887224,1.056176,"Historical and Holocene","chao_sorensen4",-19.56667,64.63333
"A27",0.954487057139262,0.0415722493941622,0.873005448326704,1,"LGM and Holocene","c2242",-19.56667,64.63333
"A27",0.8533,0.0836,0.689444,1.017156,"LGM and Holocene","chao_jaccard42",-19.56667,64.63333
"A27",0.9209,0.0503,0.822312,1.019488,"LGM and Holocene","chao_sorensen42",-19.56667,64.63333
"A27",0.945,0.0748,0.798392,1.091608,"Historical and Holocene","chao_jaccard4",-19.56667,64.63333
"A31",0.7386,0.1626,0.419904,1.057296,"Historical and LGM","c0251",-15.65,-179.0625
"A31",0.876136173338396,0.0402940708357604,0.797159794500305,0.955112552176486,"LGM and Holocene","c1252",-15.65,-179.0625
"A31",0.962984041026645,0.0415866532728162,0.881474200611925,1,"LGM and Holocene","c2252",-15.65,-179.0625
"A31",0.7027,0.1342,0.439668,0.965732,"LGM and Holocene","c0252",-15.65,-179.0625
"A31",0.8255,0.1239,0.582656,1.068344,"Historical and Holocene","c025",-15.65,-179.0625
"A31",0.955131709656442,0.0244303448567725,0.907248233737168,1,"Historical and Holocene","c125",-15.65,-179.0625
"A31",1,0.0301416576416002,0.940922351022464,1,"Historical and Holocene","c225",-15.65,-179.0625
"A31",0.9512,0.0485,0.85614,1.04626,"Historical and Holocene","chao_jaccard5",-15.65,-179.0625
"A31",0.975,0.0266,0.922864,1.027136,"Historical and Holocene","chao_sorensen5",-15.65,-179.0625
"A31",0.916384038638765,0.0337325866806554,0.850268168744681,0.98249990853285,"Historical and LGM","c1251",-15.65,-179.0625
"A31",0.979614151916795,0.0339464392805668,0.913079130926884,1,"Historical and LGM","c2251",-15.65,-179.0625
"A31",0.8761,0.0613,0.755952,0.996248,"Historical and LGM","chao_jaccard51",-15.65,-179.0625
"A31",0.9339,0.0358,0.863732,1.004068,"Historical and LGM","chao_sorensen51",-15.65,-179.0625
"A31",0.8561,0.0714,0.716156,0.996044,"LGM and Holocene","chao_jaccard52",-15.65,-179.0625
"A31",0.9225,0.0428,0.838612,1.006388,"LGM and Holocene","chao_sorensen52",-15.65,-179.0625
"A44",0.6842,0.1132,0.462328,0.906072,"Historical and LGM","c0261",-7.59167,61.48333
"A44",0.850025124841586,0.0418929192085216,0.767915003192883,0.932135246490288,"Historical and LGM","c1261",-7.59167,61.48333
"A44",0.9231,0.1385,0.65164,1.19456,"LGM and Holocene","c0262",-7.59167,61.48333
"A44",0.85097014032086,0.0431610777819659,0.766374427868207,0.935565852773514,"LGM and Holocene","c1262",-7.59167,61.48333
"A44",0.898801151485108,0.0670298039001997,0.767422735840716,1,"LGM and Holocene","c2262",-7.59167,61.48333
"A44",0.8291,0.0901,0.652504,1.005696,"LGM and Holocene","chao_jaccard62",-7.59167,61.48333
"A44",0.9066,0.0558,0.797232,1.015968,"LGM and Holocene","chao_sorensen62",-7.59167,61.48333
"A44",0.7027,0.105,0.4969,0.9085,"Historical and Holocene","c026",-7.59167,61.48333
"A44",0.79522474133553,0.047623395715276,0.701882885733589,0.888566596937471,"Historical and Holocene","c126",-7.59167,61.48333
"A44",0.771829867565865,0.0809096256002857,0.613247001389305,0.930412733742426,"Historical and Holocene","c226",-7.59167,61.48333
"A44",0.8667,0.0868,0.696572,1.036828,"Historical and Holocene","chao_jaccard6",-7.59167,61.48333
"A44",0.9286,0.0535,0.82374,1.03346,"Historical and Holocene","chao_sorensen6",-7.59167,61.48333
"A44",0.864487813693391,0.085298556813406,0.697302642339115,1,"Historical and LGM","c2261",-7.59167,61.48333
"A44",0.8498,0.0605,0.73122,0.96838,"Historical and LGM","chao_jaccard61",-7.59167,61.48333
"A44",0.9188,0.0355,0.84922,0.98838,"Historical and LGM","chao_sorensen61",-7.59167,61.48333
