,A10_hist,A10_holocene,A10_lgm,A20_hist,A20_holocene,A20_lgm,A25_hist,A25_holocene,A25_lgm,A27_hist,A27_holocene,A27_lgm,A31_hist,A31_holocene,A31_lgm,A44_hist,A44_holocene,A44_lgm,A46_hist,A46_holocene,A46_lgm,A5_hist,A5_holocene,A5_lgm,A55_hist,A55_holocene,A55_lgm
Beella_digitata,0.00,0.48,0.00,0.00,0.00,0.00,0.00,2.08,0.38,0.53,0.00,1.82,0.33,0.10,0.61,0.00,0.26,1.11,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.50,0.00
Berggrenia_pumilio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Candeina_nitida,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.27,0.27,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Dentigloborotalia_anfracta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerina_bulloides,21.47,7.88,25.58,4.66,8.85,1.81,1.51,1.33,17.75,0.53,2.73,2.55,1.00,0.50,2.66,2.62,5.03,3.33,8.46,4.20,5.50,55.03,60.71,51.67,2.31,2.30,9.64
Globigerina_falconensis,2.26,15.75,0.66,3.94,0.66,3.32,6.42,3.60,2.02,0.53,2.19,0.73,2.00,0.70,1.43,0.00,0.00,0.00,3.63,0.82,1.50,0.00,0.00,0.00,0.00,0.00,1.79
Globigerinella_adamsi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinella_calida,0.56,4.06,0.00,2.15,0.00,0.30,3.02,2.84,0.78,2.93,1.91,5.84,5.00,4.73,3.89,0.00,1.32,3.33,3.63,2.78,0.00,0.31,0.00,0.00,1.15,0.20,0.30
Globigerinella_siphonifera,0.00,3.34,0.33,1.79,5.53,1.21,1.51,5.30,2.48,7.71,2.46,1.82,3.33,4.53,4.09,5.25,4.76,5.56,4.23,5.94,18.50,0.00,0.00,0.00,0.77,2.90,3.78
Globigerinita_glutinata,2.82,3.58,1.99,18.64,19.25,18.73,6.79,12.88,8.62,6.38,9.29,18.25,21.00,19.32,31.49,25.25,6.61,9.63,19.64,17.18,25.50,1.57,1.53,3.67,0.77,2.90,0.00
Globigerinita_minuta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinita_uvula,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinoides_conglobatus,0.00,0.00,0.00,0.36,0.33,0.60,1.13,0.76,0.89,3.19,0.55,1.82,2.67,5.03,2.45,1.97,3.44,4.07,0.60,1.42,0.50,0.00,0.00,0.00,0.77,1.80,0.00
Globigerinoides_ruber,0.00,0.00,0.00,0.00,0.00,0.00,4.15,1.33,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
Globigerinoides_tenellus,0.00,0.00,0.00,0.00,5.20,0.30,7.55,4.55,2.50,2.39,0.55,4.38,6.33,4.02,2.86,0.00,0.26,0.74,1.81,1.42,1.50,0.00,0.00,0.00,0.00,0.20,0.50
Globigerinoides_white,1.69,7.64,1.00,26.16,28.10,16.92,31.70,40.15,24.42,52.13,56.56,44.16,43.67,38.23,40.90,17.38,24.07,22.22,34.74,28.57,31.00,0.00,0.00,0.00,26.15,15.18,7.36
Globoconella_inflata,32.77,35.56,11.63,3.58,6.19,47.73,11.70,2.08,10.20,0.53,0.82,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.19,20.66,17.33,13.46,16.28,0.30
Globoquadrina_conglomerata,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.37,0.30,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia_crassaformis,0.00,0.00,0.00,0.72,0.00,0.60,0.75,0.38,1.82,0.27,0.00,0.36,0.00,0.00,0.41,0.00,0.00,0.74,0.00,0.44,0.00,0.00,0.00,0.33,1.92,1.80,46.42
Globorotalia_hirsuta,0.00,1.43,0.66,0.00,1.00,0.00,0.38,0.57,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia_menardii,0.00,0.00,0.00,13.26,9.85,0.30,0.00,2.65,0.04,0.27,0.82,0.73,0.00,0.00,0.20,9.84,14.02,14.44,0.30,2.24,1.75,0.00,0.00,0.00,8.85,13.59,0.00
Globorotalia_scitula,0.00,0.48,0.00,0.00,0.00,0.00,0.75,1.70,1.81,0.27,1.37,1.09,0.00,0.00,0.20,1.64,0.79,1.48,0.00,0.22,0.00,0.00,0.00,0.33,0.00,0.20,0.00
Globorotalia_theyeri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia_truncatulinoides,5.65,2.86,1.66,2.15,1.66,1.51,4.53,5.49,6.34,0.80,1.37,6.57,0.00,0.20,0.00,0.33,0.00,0.00,0.00,0.49,0.00,4.40,6.12,1.33,3.85,7.89,1.49
Globorotalia_tumida,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.38,0.02,0.00,0.82,0.00,0.00,0.00,1.02,4.92,1.85,1.48,0.60,1.58,1.75,0.00,0.00,0.00,2.69,4.30,0.00
Globorotalia_ungulata,0.00,0.00,0.00,1.08,0.00,0.00,0.75,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotaloides_hexagonus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.30,0.00,0.00,3.44,2.22,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globoturborotalita_rubescens,0.00,0.00,0.33,0.00,0.33,0.00,1.13,2.08,4.73,0.53,1.64,3.65,1.33,3.82,1.23,1.31,0.00,0.74,1.21,2.29,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Neogloboquadrina_dutertrei,0.00,1.19,1.00,12.19,3.87,3.93,0.38,0.19,0.89,2.93,2.73,1.82,1.33,0.10,2.25,6.89,7.94,17.41,2.72,4.74,3.50,0.00,0.00,0.00,2.69,5.69,0.00
Neogloboquadrina_incompta,9.60,10.02,40.53,1.43,1.00,0.91,0.38,0.00,3.97,0.00,0.82,0.00,0.00,0.00,0.41,10.82,0.26,4.44,3.02,0.27,0.00,2.52,3.32,4.67,12.69,4.80,1.99
Neogloboquadrina_pachyderma,21.47,0.24,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,5.97,6.63,14.33,0.00,0.00,5.07
Orbulina_universa,0.56,0.72,0.33,0.36,0.66,0.60,2.26,3.22,0.96,0.80,2.73,1.46,1.33,2.41,2.66,0.00,0.26,1.11,0.00,0.11,0.00,0.00,0.51,0.33,0.38,0.20,3.08
Pulleniatina_obliquiloculata,0.00,0.00,0.00,0.72,1.66,0.00,1.13,0.00,0.00,1.86,0.00,0.36,0.00,0.00,0.61,5.25,3.17,5.19,6.65,12.21,4.50,0.00,0.00,0.00,1.92,0.70,13.72
Sphaeroidinella_dehiscens,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.36,0.00,0.00,0.00,0.33,0.79,0.37,0.00,0.22,0.00,0.00,0.00,0.00,0.77,0.90,0.00
Tenuitella_iota,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trilobatus_sacculifer,0.00,0.48,0.00,6.09,5.86,0.00,11.32,5.30,7.33,13.83,9.56,0.00,10.67,11.37,0.00,4.26,15.87,0.00,8.46,10.69,3.50,0.00,0.00,0.00,17.69,17.18,3.28
Turborotalita_humilis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.36,0.00,0.20,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.15,0.00,0.99
Turborotalita_quinqueloba,1.13,0.24,8.64,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.36,0.00,4.33,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,0.00,0.00,0.30
